refcode,HOMO,LUMO,gap,dipole_moment_Debye,splitting,hirshfeld,N_FOD
AHABIV,-5.4877,-2.5968,2.8909,8.99849,-32.54,0.115409,0.606235
AHEZAO,-5.2412,-3.1551,2.0861,10.4065,-36.09,0.206415,0.849189
AHIGOO,-4.2372,-1.2349,3.0023,2.52247,45.82,-0.171917,0.785092
AHUCUE,-5.0771,-2.9669,2.1102,5.00017,-15.77,0.16303,1.040208
AHUGOA,-4.5367,-1.8463,2.6904,1.14259,-39.1,0.302154,0.936268
AJAFEX,-4.8457,-1.1911,3.6546,11.1483,55.06,-0.133493,0.454951
AJALAZ,-4.34,-1.7319,2.6081,1.00E-05,24.93,-0.043124,1.177097
AJALED,-5.0899,-2.4727,2.6172,8.98281,-44.46,0.103977,0.662351
AJALIH,-5.203,-2.6948,2.5082,9.14573,-40.85,0.075936,0.759047
AJICUT,-4.8648,-3.0653,1.7995,12.41419,-60.54,0.199998,0.831475
AJIMOV,-5.782,-1.9349,3.8471,6.03085,106.56,-0.037887,0.550826
AJUKIA,-5.3208,-1.4344,3.8864,2.10666,66.87,0.056771,0.798943
AKASIQ,-4.3955,-2.9624,1.4331,4.90139,-55.23,0.330212,1.575649
ALALAA,-4.5662,-2.827,1.7392,0.07032,34.29,0.185019,2.05819
ALEQEO,-4.7473,-1.2807,3.4666,6.93631,76.99,-0.002485,0.504995
ALILOX,-4.7067,-2.4761,2.2306,3.12261,45.28,0.005455,1.336453
ALIYOJ,-4.6147,-2.926,1.6887,9.54585,-57.71,0.328355,0.802316
ALLPMN,-5.1762,-0.1944,4.9818,0.9792,144.27,-0.059496,0.227674
ALOTOL,-4.4594,-0.8703,3.5891,9.19701,60.44,-0.20607,0.568509
ALOTUR,-4.0528,-0.5117,3.5411,8.05632,59.83,-0.203856,0.598047
AMATEQ,0.5306,4.6189,4.0883,1.24802,-43.75,0.290882,0.350191
APOHUK,1.2011,3.155,1.9539,0.54357,-19.51,0.018958,1.72402
APRCOB,-9.9359,-6.5316,3.4043,13.68209,57.18,0.183215,0.476542
APUDUM,-4.7038,-2.3692,2.3346,6.0442,-28.08,0.252948,1.60102
AQIYAA,1.4683,5.2543,3.786,7.25983,108.23,-0.047829,0.548064
AQIYII,-2.1456,1.307,3.4526,4.61045,107.26,-0.037979,0.601813
AQIZEF,1.6432,4.9536,3.3104,10.28072,120.34,-0.017572,0.501623
AQSUMN,-3.0629,-2.0187,1.0442,21.39366,-44.12,0.305647,0.871209
AQUGEY,-4.1475,-1.7631,2.3844,5.36335,-27.24,0.176445,1.331849
AQUGIF,-3.6304,-0.9225,2.7079,2.71431,-24.75,-0.017179,0.95234
AREJUD,-4.653,-1.4696,3.1834,3.88769,57.82,-0.103874,0.51098
ARIMUJ,-9.1413,-6.1858,2.9555,3.29114,83.25,0.092275,0.67019
ARIRIC,-5.5942,-2.1924,3.4018,6.77717,-19.36,0.213877,0.443465
ARIVEE,-4.6261,-2.2995,2.3266,2.70371,19.15,0.028828,0.984747
ASASOF,-4.3901,-2.5022,1.8879,5.20552,43.87,-0.024926,1.406145
ASATEW,-4.729,-2.5813,2.1477,9.13798,53.52,-0.019246,1.488091
ASENIA,0.9564,3.5352,2.5788,0,19.03,-0.173328,1.161974
ASUTUD,-3.8908,-0.9893,2.9015,7.99845,-51.92,0.167032,0.599126
ASUVIT,-4.2033,-0.4596,3.7437,8.77474,-67.71,0.220563,0.257056
ATOCOC,-4.7056,-2.1567,2.5489,2.00E-05,-29.02,-0.032432,1.272292
ATOFAS,3.8659,5.0069,1.141,7.61868,-15.56,0.103751,2.308891
ATOMOM,-10.5695,-8.5765,1.993,2.03752,-46.48,0.218643,0.617545
ATUFAW,-4.7965,-1.3871,3.4094,0.74264,34.16,-0.021826,0.520143
AVALAL,-4.7936,-1.2058,3.5878,5.34074,-56.18,0.325012,0.47078
AVOKAX,-5.1743,-1.9555,3.2188,15.43063,48.13,-0.089183,0.607142
AVUCUP,-4.7711,-2.1904,2.5807,4.08028,-19.07,0.227885,0.867545
AWESAY,-5.1701,-2.0562,3.1139,13.47604,-22.84,0.207315,0.406076
AWOLOO,-4.7992,-3.0425,1.7567,4.85191,-50.25,0.398277,1.075581
AXISIJ,-5.1289,-3.4422,1.6867,12.26586,-43.95,0.282665,1.246333
AXITAC,-4.7812,-2.1342,2.647,10.12107,-48.18,0.173597,0.755513
AYAGIQ,-4.6866,-2.2923,2.3943,5.30523,24.11,-0.085854,1.035829
AYIZOY,9.1298,12.307,3.1772,1.26757,-16.98,0.140239,0.625873
AYOYES,-5.2407,-2.4296,2.8111,4.13709,-30,0.080616,0.583188
AZIDIY,-1.7892,-0.9142,0.875,27.61996,-39.96,0.128192,1.963086
AZISUY,-4.6266,-2.0037,2.6229,0,-51.53,0.217216,0.523381
AZOCNI16,-7.5559,-4.7479,2.808,1.66709,-29.59,0.112273,0.61051
AZUMAJ,-4.5373,-2.2299,2.3074,13.39312,-49.47,0.205731,0.604322
BABCAK,-4.5112,-2.3012,2.21,20.60836,-20.36,0.141946,0.954219
BABPAX,3.1466,6.2248,3.0782,2.34391,27.34,-0.121415,0.622353
BABQIE,-5.2301,-1.4355,3.7946,5.39442,129.16,-0.06165,0.554241
BABTED,-4.0179,-0.3444,3.6735,4.8034,47.56,-0.193213,0.366725
BACNOK,-8.0529,-5.23,2.8229,8.58812,-46.79,0.274563,0.494404
BADHIZ,-5.4078,-2.3029,3.1049,14.08518,-32.29,0.167876,0.45493
BAFSIO,-3.523,-1.0603,2.4627,5.14936,30.12,-0.256221,0.752772
BAHDAS,1.2144,4.8803,3.6659,1.379,-38.4,0.192821,0.41755
BAJJEB,-5.3907,-2.805,2.5857,1.00E-05,-9.39,0.168834,0.598925
BAJVUE,-4.9013,-2.9583,1.943,6.76762,-18.42,0.167627,1.447209
BAJWAL,-5.0134,-3.2169,1.7965,4.57158,-14.07,0.180256,1.650636
BAJWEP,-5.0298,-3.2982,1.7316,5.69131,-13.71,0.169608,1.853663
BAJWOZ,-5.0625,-2.4748,2.5877,6.7471,-35.98,0.16488,0.735637
BAMBAV,10.0861,14.393,4.3069,1.00E-05,132.98,-0.108728,0.22402
BAMCOM,1.2496,3.7573,2.5077,0,23.11,-0.133668,1.326594
BAPKEI,-8.0682,-4.5118,3.5564,1.5535,48.64,-0.191554,0.333508
BAPPOX,-13.9204,-9.3797,4.5407,6.96867,-23.27,0.366965,0.125138
BATSIY,-8.1302,-5.5664,2.5638,6.07422,-22.84,0.175792,0.47042
BAVNAN,-13.2444,-9.3473,3.8971,6.05863,-42.77,0.211132,0.139188
BAWLAN,-4.7423,-3.1739,1.5684,12.48438,-46.41,0.312184,0.940054
BAWZIL,-5.4691,-3.4086,2.0605,0,-14.91,0.248821,0.971765
BAYDEL,-4.5932,-1.9918,2.6014,6.69121,69.98,0.105322,1.487794
BAYHUF,-3.9749,-1.5089,2.466,11.27721,-27.9,0.116789,0.80034
BAZSUR,-5.2853,-2.4384,2.8469,0,35.04,0.016309,0.597281
BEFPOR,-4.6753,-1.119,3.5563,5.1323,88.86,0.034806,0.445462
BEJDUS,-4.2155,-2.1169,2.0986,7.31829,16.33,-0.067244,0.967014
BEKGAB,-5.0245,-2.0559,2.9686,7.93482,-19.24,0.164206,0.786344
BEKGOP,-4.5892,-1.659,2.9302,7.05815,-19.31,0.147973,0.637232
BEKPUE,-5.0873,-1.8381,3.2492,9.3486,58.58,0.04987,0.605797
BEKZIA,-4.8585,-2.9674,1.8911,4.8896,-29.49,0.426396,1.354606
BEMJIN,-4.9408,-2.4683,2.4725,11.87256,-18.75,0.129748,1.274948
BEMNAK,-4.7453,-1.4043,3.341,1.00E-05,37.6,-0.101827,0.508904
BEMWUM,-14.3905,-9.1075,5.283,4.00E-05,-54.5,0.443201,0.038421
BEPRET,-5.2515,-3.1734,2.0781,5.37277,-54.04,0.398536,1.167216
BEPTIA,-5.3722,-3.3119,2.0603,7.64827,-41.85,0.342256,0.92864
BEQYOM,-5.2108,-2.2338,2.977,6.56272,-19.52,0.188195,0.591294
BESBEI,-5.4136,-4.0875,1.3261,7.61432,-36.92,0.418317,1.913762
BETQAT,-7.3562,-2.9421,4.4141,0.377,95.46,-0.195476,0.379249
BEXJEW,-1.4409,-0.2908,1.1501,0.23905,35.75,-0.081429,1.461671
BEXJUK,-3.9187,-1.4057,2.513,5.60307,-40.4,0.257987,0.677839
BEXKOE,-4.9906,-2.2746,2.716,0,23.01,0.076261,0.511874
BEXLIC,-3.7455,-1.3901,2.3554,0.08954,-36.94,0.301048,0.601251
BEXZIN,-5.9773,-3.3678,2.6095,0,43.67,0.114995,0.895136
BEZLOH,-5.3407,-1.9579,3.3828,5.37031,117.65,0.041055,0.486299
BGUCRM,-4.1751,-0.616,3.5591,1.29162,-37.03,0.290129,0.383349
BIBDOG,-1.4384,0.9081,2.3465,6.78019,29.36,-0.154068,1.338929
BIBDUM,-1.7015,-0.1843,1.5172,6.61006,27.58,-0.07583,2.10852
BIBFEY,-1.7204,-0.2335,1.4869,7.92665,25.59,-0.061556,2.177977
BIHKAE,-5.4455,-2.6512,2.7943,0,-36.97,0.054587,0.424411
BIJJAG,-4.7357,-2.1899,2.5458,2.38231,-58.32,0.278356,0.866037
BIKDAA,-4.9993,-1.9341,3.0652,8.50007,-65.8,0.229503,0.535958
BILQUI,-7.5183,-4.3368,3.1815,5.99275,92.12,-0.13573,0.650652
BILVUQ,-5.2559,-2.2633,2.9926,0.99128,-43.42,0.037982,1.206693
BILWAX,-5.1611,-2.1476,3.0135,1.23983,-42.64,0.036398,1.3496
BINCOR,-5.8136,-3.2268,2.5868,6.80504,42.88,0.108496,0.870625
BINJOZ,2.5816,6.3127,3.7311,0.23264,-45.1,0.057831,0.319953
BIPJER,1.6036,3.5307,1.9271,1.39855,-52.01,0.271059,1.084158
BIPMAO,-4.2544,-1.7671,2.4873,5.16905,89.28,0.028433,0.854311
BISHIX,-4.9759,-0.4557,4.5202,4.43787,118.55,-0.004294,0.27829
BISXIK,-5.1831,-2.4329,2.7502,10.32362,90.29,0.036551,1.054543
BITTAC,-4.6781,-1.8443,2.8338,0.64746,37.16,-0.05408,0.789982
BIVTOP,-5.221,-1.3974,3.8236,11.01124,140.39,0.012149,0.414574
BIWPED,-4.4643,-1.9072,2.5571,7.17721,-27.08,0.070969,0.619796
BIXWOX,-3.6505,-1.0069,2.6436,2.62833,55.08,-0.069004,0.943879
BIZQOQ,-6.0167,-3.6124,2.4043,10.48758,47.44,0.019809,0.978297
BODQES,-3.1748,1.509,4.6838,14.59091,102.23,0.05313,0.241465
BOFFOS,4.3139,6.9192,2.6053,0.71344,-13.46,0.403109,0.640634
BOFGOS,-4.957,-1.4359,3.5211,4.1166,99.25,-0.085725,0.667732
BOHGAG,-17.5767,-12.9486,4.6281,2.9635,89.36,0.036905,0.236326
BOJPOI,-5.8962,-1.7951,4.1011,4.50631,78.34,-0.156635,0.581534
BOKZEH,-5.3345,-3.3188,2.0157,10.31221,-24.73,0.105445,1.408889
BOLVAA,-4.2927,-0.2077,4.085,0.54312,63.91,-0.145344,0.324344
BOMVEF,-5.2258,-1.9243,3.3015,4.1271,39.51,-0.086604,0.519555
BONGEQ,-5.0671,-2.173,2.8941,6.94184,106.79,0.001069,0.759099
BOQPIH,-13.2096,-9.7975,3.4121,1.00E-05,-14.51,0.29114,0.372178
BORFET,-5.0178,-1.7114,3.3064,8.07332,126.89,-0.03746,0.510807
BOTHEX,-6.0861,-1.7758,4.3103,16.65385,-22.11,0.29346,0.294894
BOTQEH,-13.5713,-10.1116,3.4597,8.68612,63.89,0.194508,0.374255
BOWYUJ,-3.1489,-0.3019,2.847,0,-48.72,0.205647,0.589356
BOXMIK,-11.0612,-9.5992,1.462,0,18.41,-0.11902,0.986356
BOXSAK,-2.6164,-0.2953,2.3211,1.985,-41.48,0.338801,0.795571
BOXSEO,-1.6724,1.4721,3.1445,1.95735,-62.56,0.244631,0.517929
BOZJEH,-13.5969,-10.0165,3.5804,5.06197,-42.72,0.276814,0.227355
BRURMN,-4.3738,-0.7047,3.6691,20.24149,-74.27,0.229697,0.409924
BUBHEM,-4.4088,-0.6448,3.764,8.00886,-65.29,0.238618,0.229909
BUBLEQ,-5.7736,-3.023,2.7506,7.01172,-32.95,0.089342,0.737814
BUCRAS,-7.3989,-5.7601,1.6388,9.38329,-58.8,0.222002,1.046277
BUDHEN,-5.3698,-3.555,1.8148,7.26931,40.86,0.074585,1.24659
BUJPIH,-4.2618,-2.4032,1.8586,5.81755,-55.99,0.178548,1.094286
BUKFAR,-4.4487,-2.3252,2.1235,14.78029,-15.52,0.134879,1.066626
BUQCUL,-8.3437,-5.4877,2.856,2.40702,52,0.036343,0.925426
BURMIL,-5.5935,-0.5483,5.0452,5.59162,166.92,-0.075065,0.211588
BUSMOR,-3.861,-0.153,3.708,2.60826,-59.15,0.170774,0.272381
BUTDAV,-9.9787,-5.6467,4.332,1.25906,-49.15,0.380275,0.136104
BUXJEJ,-12.0938,-9.3122,2.7816,0,-31.76,-0.046071,0.331047
BUXYIE,-4.821,-3.3214,1.4996,10.91482,-38.67,0.186151,1.621539
CADHOE,-8.9755,-5.4518,3.5237,5.97241,80.76,-0.117987,0.630153
CADYEM,-3.7161,1.6354,5.3515,9.98174,159.07,0.03355,0.202308
CADYUC,-4.9102,-2.5821,2.3281,9.07644,-27.43,0.104384,0.738605
CADZAJ,-4.9655,-2.8587,2.1068,11.47478,-26.05,0.166266,0.84168
CAFTIM,-4.9633,-0.2302,4.7331,0.72833,154.98,-0.082224,0.264811
CAFYAK,-4.2471,-1.2912,2.9559,4.33808,-39.82,-0.074926,1.306923
CAFZAM,-3.6059,-1.3625,2.2434,0.16756,-48.87,0.204213,1.062237
CAGCIW,3.1541,4.8023,1.6482,3.00E-05,-52.51,0.049876,1.026956
CAGSOV,-8.0174,-4.9428,3.0746,7.01386,-34.48,0.10256,0.6329
CAHCOP,-4.3155,-1.2706,3.0449,2.54065,52.26,-0.217098,1.189953
CAHGAW,-4.6827,-2.9536,1.7291,8.37731,-64.34,0.187708,1.027454
CAHQAD,-5.4056,-2.0002,3.4054,3.73783,-44.31,0.156083,0.46442
CAHQEH,-4.3226,-1.2,3.1226,1.5647,-37.39,0.090117,0.536427
CAJFAV,-7.4381,-5.2978,2.1403,7.63609,-33.97,0.181351,1.150292
CAJFEZ,-12.176,-9.7902,2.3858,5.45615,45.99,0.127739,0.769788
CAMRAM,1.748,3.1905,1.4425,0,12.84,-0.154887,1.972028
CAPZAW,-2.6746,-0.1561,2.5185,9.91074,-18.39,0.374493,0.523752
CASLOX,-4.9963,-2.3481,2.6482,1.66731,-32.46,0.194709,0.69754
CASXAY,1.5561,5.2743,3.7182,0.80842,-24.44,0.257609,0.315925
CATGEJ,-5.0302,-1.3311,3.6991,2.66122,102.48,-0.023018,0.437863
CAWPOG,-10.1588,-7.5289,2.6299,2.60459,28.49,-0.180255,1.29019
CAXVAZ,-8.3175,-5.7009,2.6166,8.99478,-54.55,0.349452,0.492629
CAZVAA,-2.2685,0.6774,2.9459,12.75775,-21.79,0.08741,1.024282
CAZZUY,-3.978,-1.3109,2.6671,7.86903,-52.01,0.136504,0.53227
CEBZIS,2.6551,5.1065,2.4514,0,26.31,-0.178507,1.247033
CECBOB,-4.8536,-1.9464,2.9072,5.31389,78.94,-0.06217,0.787057
CECKEB,1.9401,4.1257,2.1856,0,19.43,-0.161088,1.074084
CEDXIT,-10.988,-6.9631,4.0249,1.34839,-57.22,0.250765,0.248317
CEDYAM,-11.6074,-8.6491,2.9583,0.56897,-31.02,0.175258,0.414343
CEHHON,-18.768,-12.756,6.012,0,134.45,0.136561,0.088213
CEHYAP01,-10.8067,-6.4707,4.336,0.00065,89.57,0.129667,0.23902
CEHZOF,-5.2709,-2.9669,2.304,9.0351,41.17,-0.015265,1.178461
CEKJIO,-4.9457,-2.9518,1.9939,10.44553,37.67,-0.011934,1.029938
CEMSIW,3.1846,6.5422,3.3576,0.42323,-58.11,0.057046,0.41049
CEMWIC,-4.3413,-1.872,2.4693,6.79192,-47.89,0.164233,1.16617
CEPFEI,-5.5727,-3.4595,2.1132,4.32129,-22.44,0.139216,0.828676
CEQPIZ,-5.1236,-2.067,3.0566,4.69476,51.33,0.067523,0.712297
CEQPOF,-5.0529,-2.2025,2.8504,5.17297,52.61,0.049203,0.835334
CEQSEW,-4.575,-2.1271,2.4479,1.93258,26.16,-0.125505,0.831389
CESGOW,-7.9204,-5.9593,1.9611,4.61744,72.64,0.110608,1.327808
CETFAI,-12.1151,-9.3171,2.798,0,-21.58,0.202088,0.655889
CETGOX,-12.1047,-8.3432,3.7615,1.29043,-46.7,0.24849,0.292008
CETJIU,-12.5344,-9.9404,2.594,0.71105,-10.3,0.159894,0.718016
CETXAA,-5.5761,-3.5951,1.981,11.56077,34.68,-0.031625,1.701489
CEXJEW,-7.7563,-5.2081,2.5482,7.48926,-47.95,0.261929,0.83255
CEXLUN,-3.3319,0.226,3.5579,11.35677,-44.79,0.469013,0.350102
CEZYOW,-4.6616,-0.6997,3.9619,6.51914,-65.98,0.254603,0.38178
CEZYUC,-4.723,-1.1282,3.5948,8.91184,-62.12,0.259062,0.331431
CGLYMN,-4.8976,-0.5114,4.3862,10.07036,-60.13,0.207225,0.179712
CIDKEI,-3.7646,-2.862,0.9026,18.13154,-47.36,0.225335,1.146561
CIDVOA,-4.6637,-3.0109,1.6528,0.26473,-41.57,0.235745,1.692551
CIGBUP,-12.5212,-9.2567,3.2645,0,-28.08,0.204065,0.233352
CIHJEJ,-4.4333,-1.4912,2.9421,9.73519,-19.59,0.267117,0.45819
CIHWAR,-8.5693,-5.8242,2.7451,1.9482,33.74,-0.04526,0.587785
CIJYID,-11.6833,-9.2084,2.4749,0,-25.95,0.04948,0.331251
CILGIO,-4.1896,-1.3317,2.8579,3.87702,-61.85,0.192786,0.663303
CIMBUV,-9.6215,-5.0008,4.6207,7.69535,120.45,-0.035049,0.299505
CIMGOU,-9.8233,-5.2488,4.5745,7.51896,120.05,-0.009134,0.258934
CIMHEL,-8.8531,-4.2187,4.6344,5.15262,146.51,-0.064995,0.651557
CIRDEN,-4.4971,-0.9218,3.5753,9.39568,-77.13,0.36254,0.442437
CIVREF,-1.4014,1.8873,3.2887,1.00284,-58.6,0.321376,0.302492
CIXXAJ,-4.0339,-1.5406,2.4933,6.19825,-25.2,-0.148779,1.264774
CIXXEN,-3.9683,-1.4597,2.5086,5.634,-25.59,-0.140096,1.215911
CIZLAY,-4.8158,-2.34,2.4758,10.55919,67.26,-0.002431,0.887897
CLSINI10,-4.7285,-1.7688,2.9597,2.3437,29.52,-0.081631,0.820817
CMNMVK,-5.7499,-1.6821,4.0678,5.67582,107.6,0.071716,0.323379
CMPHSC,-5.1968,-1.6383,3.5585,9.34534,137.33,-0.010785,0.418407
CMPYCR,-4.885,-1.4076,3.4774,9.00654,115.92,0.014512,0.440192
CNITSC,-12.976,-10.1951,2.7809,9.26744,25.04,0.021907,0.593019
COBDEC,-5.0828,-4.2476,0.8352,9.95497,42.17,0.075772,1.917348
COBGAB,-8.8368,-5.365,3.4718,8.95854,-40.18,0.13113,0.247893
CODLEO,-5.7416,-3.2755,2.4661,0.29103,-22.81,0.096292,0.798343
CODLIS,-5.5944,-2.1686,3.4258,0.31703,-57.1,0.189793,0.410616
CODWAU,-4.1609,-1.0832,3.0777,1.78824,52.84,-0.137271,0.639167
COETDS10,-14.0329,-10.5988,3.4341,1.1751,-20.9,0.31189,0.285489
COFMOC,-14.6984,-10.2459,4.4525,0.46913,-50.58,0.280938,0.150396
COFRIZ,-4.6761,-1.5397,3.1364,8.592,-20.26,0.187603,0.544669
COIMAC10,-4.902,-1.3168,3.5852,10.69103,-35.54,0.247901,0.41314
COJGUG,-4.5582,-2.3365,2.2217,8.78132,-33.43,0.168127,1.494553
COJHAN,-2.0352,0.2489,2.2841,5.80409,-30.43,0.093497,1.436492
COKLOD,-12.2506,-8.4622,3.7884,0.65954,-34,0.230293,0.437652
COLNEW,-3.9798,-1.4065,2.5733,7.36317,-49.15,0.166447,0.46824
COPCAM,-4.2877,-1.6551,2.6326,7.6605,-53.69,0.202517,0.809397
COPKAU,-5.5161,-2.0387,3.4774,5.71769,123.58,0.056891,0.429469
CORHUN,-4.807,-2.6847,2.1223,3.48254,-19.72,0.072255,1.07223
CORLIE,-1.5769,1.959,3.5359,0.74481,-52.03,0.336926,0.346188
CORSIO,-4.1765,-2.3695,1.807,10.50907,-55.51,0.183685,0.956637
CORSUA,-3.9673,-2.2602,1.7071,13.57135,-56,0.191568,1.140467
COSCIZ,-12.7564,-10.1823,2.5741,3.56317,89.93,0.085667,0.673452
COSGEW,-5.1388,-1.0849,4.0539,6.06432,118.66,-0.091487,0.389529
COYLEH10,-4.61,-2.6248,1.9852,17.84616,-54.28,0.283644,0.903376
CPMSNI10,-8.3831,-5.0335,3.3496,10.29852,-36.8,0.082611,0.576732
CPTCFE,-5.2474,-1.4258,3.8216,5.27676,79.81,-0.05606,0.579784
CSCNCC01,4.0746,10.0289,5.9543,1.00E-05,152.64,-0.008403,0.106058
CTHUCO10,-4.2368,-1.5181,2.7187,0,-15.94,0.047238,0.847379
CUBBOQ,-3.953,-0.7705,3.1825,5.61218,-59.63,0.228517,0.823988
CUCQIB,-6.3121,-3.3217,2.9904,3.66793,93.57,0.005536,0.679922
CUCWEE,-4.6866,-3.5027,1.1839,9.73892,-43.04,0.182332,1.789065
CUDKAN,-12.3494,-8.8902,3.4592,0.94594,-34.1,0.135225,0.251997
CUHGUH,-2.6262,-0.2812,2.345,0.95112,52.81,0.017006,1.789545
CUHGUK,-5.299,-3.0994,2.1996,10.37054,-25.66,0.11468,1.295589
CUJNAY,-4.9306,-1.6242,3.3064,3.74439,-32.86,0.075521,1.063423
CUJSAD,0.2106,2.35,2.1394,2.00E-05,-71.1,0.069948,1.047603
CUPCEV,-11.6132,-9.1093,2.5039,10.55051,-20.91,0.336537,0.527642
CUQSEN,-4.5098,-1.9969,2.5129,11.50041,-34.86,0.163682,0.749307
CURVOB,-5.8492,-3.1305,2.7187,0.5812,-17.56,0.301255,0.884506
CUVGOP01,1.4632,3.3706,1.9074,4.02249,-21.7,-0.013967,1.866281
CUVZIE,-1.3154,1.7899,3.1053,12.4049,-53.95,0.179135,0.358345
CUWMOW,-1.755,1.7587,3.5137,1.64076,-51.07,0.361975,0.310953
CUWSIW,-4.0365,-1.3091,2.7274,6.47775,-38.16,-0.141441,1.205211
CUXREV,-10.4849,-7.7574,2.7275,1.05807,54.63,-0.053165,1.106721
CUXXOL,-5.0814,-1.7472,3.3342,8.71002,41.7,-0.109214,0.588949
CUZBUU,-5.324,-2.1458,3.1782,7.67595,-25.54,0.172673,0.568801
CUZWUR,-3.6505,-2.1808,1.4697,5.18325,-16.61,0.212951,0.921014
DABHUK,-2.32,0.5957,2.9157,8.61755,69.31,0.027271,0.673739
DABPOM,-5.1718,-3.5747,1.5971,6.94177,-21.96,0.387772,1.229344
DABQED,-5.4423,-3.0601,2.3822,3.14819,-33.37,0.371903,0.819804
DABSOP,-4.3685,-2.1038,2.2647,4.07212,-43.33,0.271203,1.081717
DADJEX,-5.1724,-2.8294,2.343,6.66236,-8.04,0.181275,0.935265
DAGFAT,-5.0258,-3.1159,1.9099,14.90746,-36.25,0.131674,0.81625
DAJBAS,-4.5875,-1.8209,2.7666,4.32782,-56.18,0.107649,0.701225
DAJVIT,-4.3647,-1.1483,3.2164,6.94431,-35.86,-0.142188,0.530967
DAKNEI,-4.3989,-1.0831,3.3158,5.01369,62.5,-0.18274,0.526831
DALPEO,-3.9362,-1.6077,2.3285,5.24065,-30.53,0.223783,1.306456
DAMTES,-7.9956,-5.0477,2.9479,8.06716,-15.12,0.146521,0.813081
DAMYUL,-8.0173,-5.4362,2.5811,10.70357,-18,0.210165,0.485829
DAPQOD,-5.2237,-3.4567,1.767,11.30899,-26.15,0.125082,1.226518
DAPSCR10,-15.7951,-13.0784,2.7167,2.06598,-25.47,0.410584,0.697228
DAQRAR,-2.2297,0.5768,2.8065,0.95576,-30.98,0.293765,0.897282
DAQXEY,-5.9864,-3.927,2.0594,1.98866,-25.87,0.354316,1.143954
DAXPEY,-5.7286,-1.2385,4.4901,6.65056,111.64,0.042917,0.323724
DAXPOI,-5.217,-2.4148,2.8022,10.7974,108.64,0.040846,0.586481
DBENCR11,-3.7544,-0.4709,3.2835,0,96.81,0.039114,0.551196
DECKAZ,-4.916,-2.5481,2.3679,10.75762,-47.23,0.143151,0.766411
DECKED,-5.0334,-2.6697,2.3637,10.88155,-45.19,0.116536,0.86645
DECKUT,-4.6105,-2.5058,2.1047,14.48916,-56.87,0.156984,0.87425
DECLAA,-4.7244,-2.5825,2.1419,14.83085,-54.93,0.130018,0.978581
DECLEE,-4.6222,-2.5059,2.1163,14.58784,-57.59,0.145793,0.904656
DEDREK,-4.3394,-3.1527,1.1867,9.73867,10.12,-0.054628,1.686474
DEDROU,-5.0106,-3.1943,1.8163,9.60355,-17.3,0.070244,1.604431
