refcode,total_charge,multiplicity,n_atoms,n_elecs,HOMO,LUMO,gap,dipole_moment_Debye,Dispersion_E,Metal_q,Polarizability
ADOWOG,0,1,99,490,-0.17539,-0.16922,0.00617,0.4817,-0.240713,-0.15419,656.60825
ADOWUM,0,1,85,426,-0.19766,-0.05533,0.14233,9.6808,-0.201283,-0.1699,553.959889
ADOXAT,0,1,119,560,-0.18764,-0.05768,0.12996,0.0186,-0.303515,-0.17813,764.185363
ADOXEX,0,1,95,464,-0.1935,-0.04963,0.14387,0.0031,-0.225096,-0.16961,626.082073
ADOXIB,0,1,79,398,-0.19976,-0.05127,0.14849,8.2686,-0.184855,-0.16773,518.840251
ADOYAW,0,1,86,388,-0.15916,-0.04634,0.11282,3.0323,-0.215438,-0.00115,575.838705
ADUSEZ,0,1,93,460,-0.19138,-0.05617,0.13521,0.015,-0.225497,-0.16559,629.110862
AFEKIG,0,1,46,208,-0.16481,-0.06543,0.09938,5.1117,-0.073015,0.7522,266.326386
AFIMEK,0,1,24,210,-0.21375,-0.13324,0.08051,11.4945,-0.047795,0.54685,192.88145
AFIROW,0,1,107,536,-0.17747,-0.04756,0.12991,0.004,-0.249806,-0.18185,727.066329
AFUGEQ,1,1,81,298,-0.3012,-0.22042,0.08078,5.3624,-0.118227,0.72287,380.614245
AFUJIV,0,1,58,330,-0.1688,-0.07041,0.09839,2.5407,-0.131337,0.44228,399.044755
AFUPUO,0,1,93,414,-0.17125,-0.08493,0.08632,0.002,-0.178296,1.2635,570.264199
AFUZAE,0,1,75,480,-0.18482,-0.08072,0.1041,0.5608,-0.175525,0.46495,561.896467
AGEJUS,0,1,105,464,-0.18148,-0.07704,0.10444,2.0891,-0.282433,1.27034,663.406968
AGOBEE,0,1,64,306,-0.19988,-0.06612,0.13376,8.6794,-0.120911,0.15225,356.456842
AGOBOO,0,1,58,290,-0.19755,-0.06788,0.12967,7.3364,-0.116069,0.15897,333.31305
AGOQET,0,1,59,266,-0.171,-0.06791,0.10309,7.5694,-0.111938,-0.11963,328.195786
AHAQUX,0,1,75,412,-0.19645,-0.09811,0.09834,3.9528,-0.139399,1.18071,513.066245
AHUXUY,0,1,72,388,-0.16994,-0.07343,0.09651,2.0214,-0.17905,0.41891,489.81792
AHUYAF,0,1,83,476,-0.18031,-0.08378,0.09653,3.4039,-0.225131,0.37514,564.257191
AJAZIV,0,1,50,264,-0.17146,-0.04583,0.12563,4.7187,-0.10031,-0.10298,296.563742
AJETUE,1,1,33,220,-0.33269,-0.22415,0.10854,10.9415,-0.061066,-0.67971,249.061278
AJIDIH,0,1,62,364,-0.19328,-0.07566,0.11762,6.9758,-0.131765,0.44227,400.98152
AJIDUU,0,1,179,660,-0.1782,-0.08675,0.09145,0.0001,-0.247546,0.64329,856.19256
AJIXOI,0,1,91,382,-0.19387,-0.07874,0.11513,6.5441,-0.199974,0.13979,507.306255
AJIXUO,0,1,89,382,-0.19175,-0.07541,0.11634,7.1571,-0.197517,0.14307,500.501889
AJIYEY,0,1,39,242,-0.18394,-0.10006,0.08388,4.5631,-0.072217,0.70213,267.922981
AJIYIC,0,1,47,266,-0.17348,-0.08046,0.09302,6.9397,-0.087144,0.67618,275.377906
AJODEI,0,1,95,374,-0.14718,-0.13631,0.01087,0.3801,-0.172274,1.15957,507.119356
AJOKIV,0,1,95,432,-0.17121,-0.06493,0.10628,12.7096,-0.237006,-0.8416,624.45849
AJOKOB,0,1,97,428,-0.15766,-0.04849,0.10917,5.2467,-0.237768,-0.84396,623.339035
AJOKUH,0,1,99,450,-0.15496,-0.04904,0.10592,6.7132,-0.244982,-0.84768,649.440627
AJOXAZ,0,1,58,306,-0.18237,-0.08946,0.09291,5.9967,-0.096632,0.82739,366.814245
AJOXED,0,1,62,322,-0.18057,-0.0822,0.09837,4.5527,-0.102019,0.82868,383.291589
AJOXIH,0,1,62,322,-0.18206,-0.08171,0.10035,4.9589,-0.102702,0.82834,383.271864
AJOXON,0,1,65,340,-0.18237,-0.09887,0.0835,4.442,-0.112973,0.83036,411.711235
AJUVUY,0,1,38,230,-0.18957,-0.05814,0.13143,3.9701,-0.064961,0.50386,244.747135
AJUWAF,0,1,38,264,-0.1967,-0.06486,0.13184,5.5979,-0.068495,0.51435,263.4843
AJUWEJ,0,1,42,246,-0.18673,-0.05315,0.13358,4.408,-0.06991,0.50374,261.262465
AKEGUU,0,1,93,468,-0.17305,-0.08088,0.09217,3.3344,-0.195421,0.4709,584.859282
AKEHAB,0,1,85,436,-0.18583,-0.08167,0.10416,6.5573,-0.181893,0.46859,551.738938
AKEHEF,0,1,93,468,-0.18546,-0.06904,0.11642,7.0644,-0.194291,0.47012,584.774441
AKIHOT,0,1,95,424,-0.16611,-0.05224,0.11387,3.9069,-0.244234,-0.83876,605.619753
AKOTUQ,0,1,167,620,-0.17609,-0.09132,0.08477,0.5695,-0.335677,0.7585,904.220253
ALAJIH,0,1,47,278,-0.19886,-0.09589,0.10297,6.6908,-0.082726,0.57434,290.685202
ALAJON,0,1,50,272,-0.18682,-0.08715,0.09967,2.4574,-0.091787,0.57191,315.618977
ALAMEH,0,1,55,310,-0.18387,-0.07284,0.11103,4.9505,-0.12045,0.43514,364.726241
ALAMIL,0,1,58,318,-0.17614,-0.06748,0.10866,6.343,-0.124269,0.43382,376.767911
ALANUX,0,1,94,424,-0.18612,-0.10022,0.0859,9.3623,-0.172444,0.39659,542.043704
ALAPAF,0,1,88,398,-0.19002,-0.10189,0.08813,10.001,-0.156887,0.39722,502.0961
ALIKAI,0,1,95,470,-0.16376,-0.12467,0.03909,4.4992,-0.263557,-0.57857,646.521993
ALODIQ,0,1,38,220,-0.20749,-0.09956,0.10793,10.2453,-0.075482,0.96227,258.332423
ALOJOC,0,1,143,556,-0.16843,-0.09629,0.07214,0.6963,-0.310029,1.12811,823.20447
ALOJUI,0,1,145,556,-0.15087,-0.08916,0.06171,3.6687,-0.284836,1.11705,786.993491
ALOKOB,0,1,85,318,-0.17616,-0.08063,0.09553,0.0002,-0.147234,1.26049,439.93132
ALUTAD,0,1,78,392,-0.17845,-0.07071,0.10774,2.1775,-0.166858,0.46888,495.277392
ALUTEH,0,1,75,384,-0.1762,-0.07043,0.10577,2.6206,-0.169697,0.45679,483.643092
AMASAJ,0,1,75,384,-0.18059,-0.08591,0.09468,1.601,-0.164747,0.4005,484.16309
AMASEN,0,1,72,376,-0.1809,-0.08828,0.09262,1.3286,-0.162002,0.40047,472.30433
AMEBEB,0,1,35,228,-0.20336,-0.06378,0.13958,9.0263,-0.06299,0.1706,236.251205
AMEBOL,0,1,38,244,-0.20326,-0.05017,0.15309,10.3709,-0.067936,0.17234,265.00863
AMETUI,1,1,77,306,-0.3284,-0.13888,0.18952,1.1573,-0.134547,0.41416,406.185593
ANEZOK,0,1,121,494,-0.15093,-0.06518,0.08575,3.1968,-0.314306,-0.66179,736.037219
ANOREB,0,1,48,252,-0.20283,-0.08748,0.11535,10.9439,-0.085828,0.97535,311.924673
APACAW,0,1,102,450,-0.1312,-0.04279,0.08841,3.7124,-0.252863,-0.65513,644.332205
APOFIW,0,1,65,314,-0.19959,-0.125,0.07459,11.9248,-0.145647,0.30209,413.451147
APOFOC,0,1,89,378,-0.20206,-0.1252,0.07686,11.494,-0.201513,0.28286,506.423431
APUGIC,0,1,77,442,-0.20205,-0.07742,0.12463,9.2026,-0.191731,0.13534,507.566967
APUTOW,1,1,40,256,-0.32409,-0.22942,0.09467,7.5259,-0.07892,0.55401,281.924346
APUYIV,0,1,63,332,-0.20407,-0.0909,0.11317,4.6412,-0.127482,1.18597,419.281057
AQAJIN,0,1,61,264,-0.21226,-0.08995,0.12231,9.8888,-0.117557,0.92601,331.843822
AQEGOS,0,1,37,246,-0.19478,-0.08705,0.10773,3.8527,-0.070792,0.43536,260.108594
AQIDIP,0,1,57,354,-0.18696,-0.1107,0.07626,11.6184,-0.106362,-0.81944,404.406456
AQIYEF,0,1,43,244,-0.20405,-0.04024,0.16381,9.511,-0.076714,0.17019,268.283893
AQOYAI,0,1,231,864,-0.16758,-0.09307,0.07451,4.2618,-0.364202,1.1972,1136.932462
AQULIH,0,1,69,330,-0.19427,-0.11497,0.0793,17.7104,-0.116625,0.41849,406.491566
AQULON,0,1,69,330,-0.19252,-0.11368,0.07884,17.7192,-0.116715,0.41665,406.502804
AQULUT,0,1,69,330,-0.18148,-0.11164,0.06984,15.7017,-0.116941,0.41842,406.519002
AQUMII,0,1,71,410,-0.19235,-0.11444,0.07791,16.7858,-0.123353,0.42015,421.657142
ARAFUW,0,1,68,308,-0.19265,-0.09339,0.09926,5.8317,-0.120877,1.17815,391.802234
AREHIO,0,1,27,218,-0.20686,-0.12719,0.07967,11.1165,-0.060468,0.30272,224.353633
AREHOU,0,1,27,218,-0.18621,-0.13316,0.05305,17.5997,-0.05577,0.48934,226.580121
AROPAZ,0,1,79,448,-0.20734,-0.11933,0.08801,0.0161,-0.156222,0.20713,506.16153
AROQII,1,1,74,398,-0.28662,-0.20947,0.07715,7.7295,-0.172873,-0.64485,494.004271
AROSIK,0,1,91,478,-0.21541,-0.12699,0.08842,2.0823,-0.200127,0.69982,570.732314
ARUGIE,0,1,97,370,-0.21308,-0.10452,0.10856,8.0096,-0.192257,0.96688,507.020469
ARUROV,1,1,115,474,-0.27088,-0.16781,0.10307,2.9128,-0.295295,0.32079,696.601286
ASABIH,0,1,66,418,-0.19803,-0.09701,0.10102,8.4826,-0.110995,0.94482,381.958694
ASAFOQ,1,1,73,402,-0.30953,-0.17918,0.13035,8.1287,-0.180897,-0.32212,480.059654
ASAMOW,0,1,66,366,-0.18372,-0.12895,0.05477,11.2925,-0.14046,-0.72684,466.314155
ASEGUB,0,1,46,246,-0.18212,-0.07873,0.10339,2.693,-0.091983,0.5257,319.476888
ASEHEM,0,1,34,188,-0.20236,-0.08487,0.11749,3.4324,-0.063432,0.5258,239.480025
ASISAX,0,1,89,360,-0.18583,-0.12216,0.06367,0.0025,-0.17397,0.70617,509.748232
ASOZEP,0,1,59,268,-0.20106,-0.08026,0.1208,6.7286,-0.115869,1.16005,354.844472
ASUTAL,1,1,69,374,-0.28733,-0.1863,0.10103,7.7266,-0.175187,0.05696,437.891062
ATAGUZ,0,1,69,422,-0.22448,-0.09177,0.13271,14.8152,-0.157028,0.71256,433.252989
ATAKOX,0,1,43,310,-0.19768,-0.08624,0.11144,6.4401,-0.103531,0.45355,320.811322
ATALAK,0,1,46,258,-0.20532,-0.07441,0.13091,5.6477,-0.094438,0.77155,296.081454
ATAQOD,1,1,125,536,-0.2598,-0.16387,0.09593,2.6907,-0.323776,0.31125,793.698497
ATAQUJ,1,1,132,558,-0.25232,-0.16467,0.08765,3.7129,-0.331435,0.29879,823.37787
ATEWUT,0,1,85,334,-0.17019,-0.07572,0.09447,3.3679,-0.15621,1.26085,465.136223
ATODEU,0,1,60,296,-0.18868,-0.11052,0.07816,13.3465,-0.09907,0.31052,331.078446
AVEREZ,0,1,118,510,-0.18996,-0.11183,0.07813,4.8023,-0.24566,-0.05181,644.81702
AVIQOM,0,1,34,232,-0.18452,-0.10309,0.08143,10.3127,-0.065745,-0.78679,260.641041
AVIQUS,0,1,36,248,-0.17905,-0.09461,0.08444,10.23,-0.067593,-0.79302,270.658303
AVUBEZ,0,1,81,382,-0.17343,-0.08695,0.08648,0.0016,-0.164677,1.26357,522.231684
AWIQEC,0,1,125,526,-0.18221,-0.08611,0.0961,0.0305,-0.238587,0.6649,702.930988
AWOMOP,0,1,95,406,-0.17957,-0.08013,0.09944,0.5175,-0.183929,0.66115,515.224428
AWOSOV,1,1,71,310,-0.3179,-0.14382,0.17408,1.4572,-0.135017,0.442,425.021754
AWOVAL,0,1,30,240,-0.21392,-0.1441,0.06982,3.4798,-0.064877,-0.77205,263.564973
AWOVEP,1,1,35,244,-0.35009,-0.25459,0.0955,6.801,-0.067852,-0.67478,275.079618
AWOWAM,1,1,55,324,-0.33069,-0.22607,0.10462,7.9956,-0.105513,-0.67874,399.933636
AXERUR,0,1,102,490,-0.17412,-0.06244,0.11168,8.8334,-0.271233,0.38053,666.4043
AXESAY,0,1,92,468,-0.17922,-0.0537,0.12552,10.9263,-0.229193,0.41904,609.149798
AXESEC,0,1,59,356,-0.19629,-0.06243,0.13386,10.543,-0.119551,0.27241,390.69871
AXESIG,0,1,69,396,-0.19571,-0.06325,0.13246,10.4692,-0.154819,0.25973,453.258864
AXESOM,0,1,65,382,-0.19672,-0.07558,0.12114,10.6501,-0.14044,0.25864,430.62993
AXEWUX,1,1,40,256,-0.32855,-0.2333,0.09525,4.8504,-0.079277,0.55353,281.974017
AXOGOL,1,1,51,230,-0.3329,-0.14585,0.18705,4.656,-0.087688,0.4279,300.20979
AXOKAZ,0,1,40,226,-0.19909,-0.10245,0.09664,10.4101,-0.082526,0.94193,283.889705
AXOYES,0,1,50,308,-0.1828,-0.10449,0.07831,11.4614,-0.105515,-0.78666,380.164815
AYESAA,0,1,36,204,-0.14736,-0.09059,0.05677,9.7627,-0.075556,0.58633,271.91891
AYIJUN,0,1,50,260,-0.22679,-0.10765,0.11914,7.5915,-0.097475,0.94826,342.268161
AYIKAU,0,1,57,272,-0.18117,-0.07305,0.10812,14.6865,-0.105149,0.94653,362.239829
AYIKEY,0,1,35,194,-0.22331,-0.07724,0.14607,9.9479,-0.070779,0.94768,244.335935
AYIKIC,0,1,36,206,-0.2245,-0.09518,0.12932,11.1629,-0.074239,0.94094,257.289114
AYIKOI,0,1,39,210,-0.22132,-0.07446,0.14686,9.9026,-0.075625,0.9474,260.817945
AYIKUO,0,1,37,216,-0.22824,-0.10084,0.1274,11.357,-0.075319,0.94274,258.509749
AYINUS,1,1,99,460,-0.28147,-0.17713,0.10434,6.8866,-0.260401,0.31878,661.881858
AYOGUR,0,1,73,384,-0.17761,-0.07042,0.10719,2.2445,-0.156781,0.45735,471.423486
AYOLAC,0,1,60,350,-0.19246,-0.07565,0.11681,5.9485,-0.127802,0.43877,384.678802
AYUNOZ,1,1,43,260,-0.32593,-0.21946,0.10647,10.7135,-0.087196,-0.63499,311.104528
AYUSIW,0,1,96,420,-0.16535,-0.04844,0.11691,5.8071,-0.234373,-0.84545,611.0014
AYUWAU,0,1,98,456,-0.1887,-0.10598,0.08272,7.9806,-0.215886,0.76437,648.132032
AZAPUO,0,1,57,286,-0.20219,-0.13505,0.06714,12.3629,-0.124478,0.31829,372.71776
AZAQAV,0,1,57,286,-0.19768,-0.12917,0.06851,11.0027,-0.113247,0.33857,372.895882
AZIFAS,0,1,30,168,-0.21454,-0.12001,0.09453,10.5284,-0.053871,0.9329,206.574597
AZIFEW,0,1,36,184,-0.22182,-0.11819,0.10363,10.1807,-0.067276,0.94985,229.637623
AZIFIA,0,1,39,192,-0.21772,-0.11673,0.10099,9.9812,-0.07124,0.95,241.152414
AZIFOG,0,1,34,184,-0.20798,-0.11379,0.09419,8.4739,-0.062659,0.93879,223.068214
AZIPOP,0,1,81,416,-0.17381,-0.06254,0.11127,0.0591,-0.167129,0.45932,504.47912
AZOFEB,0,1,31,234,-0.20094,-0.12195,0.07899,12.8132,-0.063442,0.36213,238.627316
BACYUC,0,1,81,294,-0.13811,-0.0982,0.03991,11.5533,-0.132106,0.70042,406.581521
BACZAJ,0,1,110,382,-0.13292,-0.09659,0.03633,10.2712,-0.201703,0.69024,543.404191
BACZEN,0,1,98,370,-0.12916,-0.09222,0.03694,9.2491,-0.19247,0.68413,530.245735
BAFMED,1,1,31,150,-0.34716,-0.14715,0.20001,0.0038,-0.041186,0.44034,175.099268
BAFMIH,1,1,31,150,-0.34716,-0.14715,0.20001,0.0129,-0.041188,0.44028,175.099226
BAHFIC,0,1,46,206,-0.17404,-0.11318,0.06086,7.848,-0.083655,0.43992,285.408906
BAHFOI,0,1,46,224,-0.17539,-0.11243,0.06296,7.9758,-0.091168,0.43162,291.981058
BAHFUO,0,1,48,246,-0.18691,-0.12632,0.06059,10.0282,-0.099589,0.43453,305.939377
BAHGAV,0,1,49,256,-0.16964,-0.11547,0.05417,8.2317,-0.094571,0.46425,307.298511
BAHGEZ,0,1,51,254,-0.17084,-0.11565,0.05519,9.4015,-0.098366,0.50027,317.710271
BAHGID,0,1,55,248,-0.1719,-0.11116,0.06074,8.1582,-0.102933,0.42682,326.60447
BAHGOJ,0,1,64,272,-0.17545,-0.11313,0.06232,8.1334,-0.122196,0.42767,361.740056
BAHGUP,0,1,52,240,-0.17423,-0.11042,0.06381,7.873,-0.10182,0.4305,315.053994
BAHZAN,1,1,37,166,-0.34397,-0.14788,0.19609,0.2181,-0.051327,0.43173,198.22398
BAKGOM,1,1,59,346,-0.30081,-0.19782,0.10299,12.0268,-0.132468,0.37934,386.989241
BAKSIR,0,1,47,228,-0.16843,-0.08053,0.0879,0.0108,-0.081447,0.67807,290.437567
BAKSUD,0,1,47,260,-0.16597,-0.08329,0.08268,0.0,-0.08256,0.69472,291.166677
BAKZEU,0,1,55,310,-0.17897,-0.06516,0.11381,1.9396,-0.119204,0.13171,371.888727
BAQZEB,0,1,99,464,-0.15014,-0.07075,0.07939,10.2774,-0.229701,-0.31428,685.261865
BAQZIF,0,1,99,482,-0.14905,-0.07098,0.07807,11.2407,-0.231828,-0.36714,692.268439
BARVEW,0,1,77,558,-0.21962,-0.11985,0.09977,0.0139,-0.17117,0.67887,530.72315
BARWIC,0,1,57,328,-0.17987,-0.07086,0.10901,0.9137,-0.127906,0.26816,377.631889
BAWJER,0,1,60,266,-0.16524,-0.04036,0.12488,5.7645,-0.119413,-0.31512,340.417303
BAWJIV,0,1,60,262,-0.17559,-0.05222,0.12337,10.5361,-0.114429,-0.33025,325.487696
BAWJOB,1,1,75,338,-0.25726,-0.18076,0.0765,4.6742,-0.174055,-0.07167,462.254686
BAWJUH,1,1,62,324,-0.26623,-0.18814,0.07809,9.8519,-0.141317,-0.0914,407.043851
BAWKAO,1,1,64,312,-0.27319,-0.1921,0.08109,11.534,-0.142298,-0.09739,402.253981
BAWSID,1,1,69,370,-0.285,-0.18665,0.09835,7.6924,-0.166932,0.3619,448.480321
BAXRAW,0,1,82,400,-0.16693,-0.06556,0.10137,6.4687,-0.172967,0.3921,506.820985
BAYPEZ,0,1,46,254,-0.16555,-0.04831,0.11724,7.3073,-0.092675,-0.43814,280.464447
BAYPID,1,1,86,410,-0.26992,-0.19705,0.07287,5.8288,-0.171583,-0.06191,507.587558
BAYPUP,0,1,53,280,-0.16246,-0.04788,0.11458,6.703,-0.109079,-0.43612,324.943738
BAZBAH,0,1,61,318,-0.17747,-0.11857,0.0589,10.174,-0.10603,0.4249,402.488568
BAZBEL,0,1,61,318,-0.17834,-0.1186,0.05974,10.3086,-0.105853,0.42442,402.486131
BAZBIP,0,1,61,318,-0.1774,-0.11865,0.05875,10.6096,-0.104012,0.42384,402.495251
BAZYEG,1,1,52,296,-0.30417,-0.22757,0.0766,10.1603,-0.099566,-0.63596,359.015143
BEBYUE,0,1,53,240,-0.17069,-0.0992,0.07149,12.9922,-0.08408,0.35527,277.303002
BEBZAL,0,1,59,288,-0.16684,-0.09811,0.06873,12.3117,-0.096944,0.38071,304.225435
BECHID,0,1,97,360,-0.14458,-0.10411,0.04047,3.939,-0.190115,0.66816,513.735945
BECHOJ,0,1,90,328,-0.14316,-0.10185,0.04131,3.4449,-0.171675,0.66628,462.612993
BEDLII,0,1,170,634,-0.18047,-0.09194,0.08853,1.4148,-0.333715,0.77702,934.365748
BEDMUU,1,1,108,494,-0.26742,-0.17878,0.08864,1.8962,-0.277262,0.3229,725.466107
BEFYET,0,1,123,564,-0.17593,-0.057,0.11893,0.0042,-0.262401,-0.17906,797.719706
BEFYIX,0,1,99,420,-0.18468,-0.05349,0.13119,0.0072,-0.170324,-0.18101,561.040828
BEGLUU,0,1,49,220,-0.17516,-0.08609,0.08907,0.0228,-0.092033,0.74165,305.01344
BEHXUK,0,1,64,352,-0.18947,-0.07386,0.11561,0.591,-0.148175,0.16721,437.382521
BEJSEO,0,1,44,222,-0.16112,-0.12964,0.03148,7.8673,-0.082093,0.72049,299.12747
BEJSUH,0,1,138,608,-0.2008,-0.13253,0.06827,5.072,-0.302078,0.78387,847.537038
BEKBEB,0,1,43,290,-0.19755,-0.11677,0.08078,13.3338,-0.070194,0.34902,269.008068
BEKZID,1,1,109,446,-0.27414,-0.17654,0.0976,4.1861,-0.264451,0.25751,666.901393
BEKZUP,1,1,66,284,-0.29402,-0.20019,0.09383,7.026,-0.14167,0.51249,414.243387
BELBAY,1,1,71,284,-0.294,-0.19621,0.09779,4.5502,-0.160336,0.52103,409.76531
BELBEC,1,1,79,312,-0.29267,-0.19564,0.09703,5.6007,-0.170264,0.50782,446.387203
BELVUM,1,1,88,408,-0.27904,-0.20497,0.07407,7.1437,-0.226326,0.3607,581.248045
BELWEX,1,1,57,260,-0.26813,-0.1767,0.09143,2.1734,-0.118316,0.65033,364.45002
BELYUP,0,1,45,338,-0.20297,-0.11576,0.08721,8.8969,-0.101511,-0.65036,372.551776
BENVOG,0,1,149,692,-0.18244,-0.10506,0.07738,0.0024,-0.317037,0.76288,908.206532
BEPGIP,0,1,77,472,-0.21211,-0.11307,0.09904,13.4362,-0.166638,0.4516,479.747518
BESGUC,0,1,43,252,-0.17562,-0.1052,0.07042,8.711,-0.080322,0.44763,299.653142
BESHAJ,0,1,43,292,-0.19179,-0.11055,0.08124,10.8453,-0.082191,0.44468,302.556558
BESHEN,0,1,45,252,-0.18956,-0.10521,0.08435,8.6532,-0.080236,0.44579,298.828252
BESHIR,0,1,47,264,-0.18383,-0.10961,0.07422,9.8261,-0.082069,0.44878,316.749141
BESHOX,0,1,49,276,-0.18312,-0.11301,0.07011,10.9161,-0.084688,0.45063,334.692135
BEVBUB,0,1,35,266,-0.18618,-0.09992,0.08626,10.5801,-0.071243,-0.7931,295.138934
BEVCUC,0,1,33,240,-0.23695,-0.12356,0.11339,7.1236,-0.056164,0.73522,232.689384
BEVDEN,0,1,27,226,-0.2329,-0.12096,0.11194,8.5718,-0.050628,0.73616,215.192574
BEVDIR,0,1,34,234,-0.21984,-0.11246,0.10738,9.7015,-0.055879,0.71904,230.888217
BEVDOX,0,1,33,226,-0.22774,-0.11547,0.11227,8.2109,-0.056046,0.7245,226.01768
BEXKOG,0,1,145,566,-0.16413,-0.09236,0.07177,0.003,-0.245326,1.2698,792.616952
BEXKUM,0,1,153,566,-0.17173,-0.10171,0.07002,0.1491,-0.249291,1.27012,819.847385
BEZGAR,0,1,99,484,-0.17695,-0.05555,0.1214,0.0035,-0.231628,-0.17984,674.074855
BIBHUQ,0,1,47,250,-0.16997,-0.07074,0.09923,7.0287,-0.086698,0.6717,274.828303
BIBYOD,0,1,39,230,-0.20432,-0.062,0.14232,9.2386,-0.065769,0.18038,237.712376
BIBYUJ,0,1,49,270,-0.20318,-0.06569,0.13749,10.8008,-0.084199,0.18185,300.271826
BICTAL,1,1,66,348,-0.28125,-0.18615,0.0951,8.2292,-0.143638,0.37396,429.882137
BIGLEJ,0,1,131,556,-0.15051,-0.03226,0.11825,0.0033,-0.240447,-0.1876,736.650685
BIKNEO,0,1,121,556,-0.17554,-0.08207,0.09347,8.1372,-0.344738,-1.42133,798.411209
BILJIQ,0,1,45,284,-0.18527,-0.1036,0.08167,10.3953,-0.095795,-0.78438,338.398227
BILKEN,0,1,57,302,-0.17133,-0.10934,0.06199,13.3828,-0.101325,0.41128,372.606901
BIMDAF,0,1,117,534,-0.17218,-0.08516,0.08702,0.0003,-0.210229,1.26329,689.507424
BINCEH,1,1,125,560,-0.26414,-0.17877,0.08537,7.7184,-0.336743,-1.2274,817.784542
BIRMOE,0,1,40,240,-0.19305,-0.08095,0.1121,3.2448,-0.080526,0.23262,271.772818
BIYHEY,0,1,115,524,-0.17286,-0.04323,0.12963,1.7012,-0.333909,-1.40741,751.878932
BIYQIK,0,1,55,304,-0.20546,-0.11345,0.09201,10.2493,-0.110149,1.16697,314.33174
BOCVEX,0,1,43,268,-0.17038,-0.07435,0.09603,3.0693,-0.07362,0.72346,292.646027
BODPAM,0,1,89,360,-0.16001,-0.04878,0.11123,4.9198,-0.151328,1.17643,480.937588
BODPEQ,0,1,81,344,-0.17586,-0.05445,0.12141,6.0974,-0.138976,1.17944,448.341326
BODPIU,0,1,73,344,-0.18858,-0.06035,0.12823,7.2237,-0.130042,1.17946,416.967849
BOFDOR,0,1,63,332,-0.15883,-0.06149,0.09734,8.9263,-0.153457,0.18884,447.944288
BOFYIF,0,1,37,272,-0.19056,-0.10823,0.08233,6.9295,-0.085282,-0.78732,308.033077
BOFYOL,0,1,37,256,-0.18711,-0.10339,0.08372,7.8006,-0.082377,-0.78718,295.652129
BOHHEO,0,1,103,366,-0.18393,-0.0754,0.10853,4.1757,-0.217025,1.29752,525.281407
BOHHOY,0,1,99,374,-0.1748,-0.07164,0.10316,3.6396,-0.216675,0.99659,544.285192
BOHKEQ,0,1,75,340,-0.20102,-0.0295,0.17152,8.1034,-0.138589,0.15136,394.551828
BOHKIU,0,1,77,342,-0.2041,-0.03056,0.17354,8.4939,-0.141568,0.15863,395.254982
BOKTAX,0,1,36,236,-0.19225,-0.1442,0.04805,7.4084,-0.068231,0.47611,231.429754
BOKYAC,0,1,51,304,-0.22333,-0.09709,0.12624,8.9067,-0.098014,1.31002,324.438165
BOKYIK,0,1,111,540,-0.18529,-0.06197,0.12332,10.6861,-0.269079,-0.17412,744.941741
BOLSAY,0,1,155,596,-0.17861,-0.08698,0.09163,0.391,-0.224135,0.64329,762.863532
