refcode,HOMO,LUMO,gap,dipole_moment_Debye,Dispersion_E,Metal_q,Polarizability
FIMPIB,-0.05096,0.05154,0.1025,5.9489,-0.294825,-0.87779,691.502111
FISCAO,-0.10984,-0.06188,0.04796,3.2986,-0.124926,0.65639,418.706254
FISCOC,-0.11597,-0.06262,0.05335,0.0062,-0.123451,0.65849,418.686624
FITDES,-0.30264,-0.27442,0.02822,4.9079,-0.107324,0.51965,331.987929
FOFLEU,-0.28222,-0.16452,0.1177,12.9467,-0.117441,1.11974,369.994251
FOLXIQ,-0.14431,-0.09519,0.04912,0.0064,-0.177994,0.34563,541.125867
FOLXUC,-0.14429,-0.09529,0.049,0.0055,-0.177947,0.34524,541.126112
FOQCIY,-0.30189,-0.22719,0.0747,4.0764,-0.077178,0.69997,272.634467
FOQCOE,-0.265,-0.18957,0.07543,13.3277,-0.080431,0.7211,248.605239
FOQTOV,-0.16468,-0.12181,0.04287,6.0154,-0.141305,0.82041,385.212909
FOQVAJ,-0.15481,-0.14256,0.01225,6.1881,-0.140011,1.16363,376.574686
FOSJOO,-0.14013,-0.08165,0.05848,3.9028,-0.167038,0.65569,418.341498
FOSREN,-0.15824,-0.07993,0.07831,0.046,-0.161197,0.29017,436.587201
FOSRUD,-0.15836,-0.07968,0.07868,0.0184,-0.204864,0.28956,576.520672
FUNPIP,-0.19554,-0.15271,0.04283,2.9419,-0.199108,0.8688,623.494519
FURJAE,-0.1846,-0.11902,0.06558,8.6104,-0.194654,-1.48155,499.974638
FURJEI,-0.18763,-0.12304,0.06459,8.5629,-0.117963,-1.5218,357.224367
FURJOS,-0.16203,-0.06509,0.09694,6.7128,-0.247196,0.14269,615.832414
FURTUI,-0.13302,-0.04768,0.08534,1.556,-0.154161,0.44741,459.60094
FUTCON,-0.35434,-0.3057,0.04864,9.5326,-0.065958,0.85552,224.740083
FUWREV,-0.19005,-0.14731,0.04274,5.3786,-0.086216,0.56,313.320289
FUYPUM,-0.26184,-0.22011,0.04173,0.069,-0.256568,0.79147,678.759337
GAFYAO,-0.26111,-0.21267,0.04844,0.0044,-0.069619,-0.05745,283.898959
GAHBUO,-0.11854,-0.04589,0.07265,10.0033,-0.10803,0.10611,300.771418
GAKKOS,-0.16646,-0.11218,0.05428,12.3168,-0.099439,0.23954,325.874126
GAMZAW,-0.15207,-0.09621,0.05586,0.363,-0.138264,-0.03236,338.420754
GAMZEA,-0.15082,-0.09545,0.05537,0.0002,-0.212411,0.04944,487.222536
GAMZIE,-0.14382,-0.04495,0.09887,4.6213,-0.162894,-0.21316,379.701898
GAMZOK,-0.13552,-0.08531,0.05021,8.1405,-0.160826,0.42874,451.923597
GAMZUQ,-0.18613,-0.11703,0.0691,0.0002,-0.223264,0.32241,553.682983
GAYRON,-0.18034,-0.15793,0.02241,0.6893,-0.15014,0.92725,384.436291
GEJQES,-0.09743,-0.01947,0.07796,5.4001,-0.322341,0.79614,792.296763
GELLUH,-0.22403,-0.07659,0.14744,10.9797,-0.096153,1.19876,319.721901
GENMUJ,-0.24057,-0.18424,0.05633,2.0586,-0.143051,0.79567,360.783693
GENNIY,-0.25554,-0.19261,0.06293,5.3381,-0.140416,0.71734,350.325446
GEQCUD,-0.13936,-0.13011,0.00925,11.1596,-0.22309,0.5893,547.619624
GIQQEF,-0.17164,-0.08689,0.08475,0.024,-0.070012,0.63543,267.926919
GISXAK,-0.16423,-0.11148,0.05275,8.0803,-0.094883,0.55621,297.165667
GISXEO,-0.17055,-0.10048,0.07007,6.8552,-0.087983,0.62347,275.338522
GISXIS,-0.1647,-0.1126,0.0521,7.4767,-0.089498,0.55851,285.095559
GISXOY,-0.17009,-0.10699,0.0631,8.4446,-0.089321,0.64472,290.413436
GITYIS,-0.13351,-0.06632,0.06719,8.9844,-0.105474,0.48431,259.563735
GITYOY,-0.13731,-0.07834,0.05897,9.4665,-0.108013,0.46291,273.107826
GIXHED,-0.16505,-0.07666,0.08839,0.0088,-0.077149,0.63465,275.669853
GOGLIY,-0.17504,-0.12886,0.04618,0.0192,-0.1242,0.63217,460.966422
GUGBOB,-0.27669,-0.15527,0.12142,9.0732,-0.226493,-0.32344,512.021649
GUGBUH,-0.26728,-0.15841,0.10887,9.6423,-0.236552,-0.14573,532.178821
GUXVAW,-0.21522,-0.05597,0.15925,8.0228,-0.171261,0.77604,487.314252
GUZHIT,-0.15404,-0.07225,0.08179,7.4366,-0.159775,-0.52244,362.834632
GUZHOZ,-0.155,-0.08295,0.07205,4.2337,-0.145613,-0.53659,346.267474
HAPDOU,-0.14498,-0.0883,0.05668,13.8185,-0.216423,0.46519,545.377243
HAQLAP,-0.14372,-0.06925,0.07447,1.3721,-0.142333,0.09597,369.078902
HAQLET,-0.14093,-0.06689,0.07404,1.0013,-0.194786,0.02298,521.798393
HARHEP,-0.17362,-0.13663,0.03699,0.0022,-0.145549,-0.06907,494.227747
HAXHIY,-0.27862,-0.17353,0.10509,13.0814,-0.149481,0.31411,384.097038
HAXYOV,-0.26597,-0.24132,0.02465,1.8192,-0.337453,0.58122,891.186091
HEKGEM,-0.16458,-0.09325,0.07133,13.2082,-0.102417,0.39473,280.037146
HEKGIQ,-0.2016,-0.10669,0.09491,12.9194,-0.104367,0.36218,279.503696
HEWXEM,-0.15437,-0.04173,0.11264,5.7867,-0.123912,-0.90795,320.286461
HEZRUB,-0.1745,-0.10214,0.07236,2.5474,-0.349529,0.68304,857.435816
HIHZII,-0.14676,-0.01852,0.12824,7.4372,-0.151902,-1.21674,398.855535
HIWDAT,-0.14497,-0.02563,0.11934,0.1416,-0.174877,-0.20319,407.567805
HIZLAF,-0.19726,-0.01833,0.17893,0.4388,-0.151323,1.31358,439.331634
HOFJET,-0.16979,-0.07888,0.09091,9.8596,-0.054367,0.67255,203.763768
HOPYAP,-0.27541,-0.2148,0.06061,3.9244,-0.133858,0.59941,376.723378
HOPYIX,-0.27554,-0.21489,0.06065,3.9109,-0.133822,0.59973,376.723373
HOPYOD,-0.27518,-0.21537,0.05981,3.902,-0.133314,0.60278,376.731565
HOXXUP,-0.14264,-0.07015,0.07249,0.0399,-0.258612,0.66593,740.266043
HUGQEH,-0.0963,-0.01683,0.07947,5.3748,-0.189405,0.13963,447.311424
HUGQIL,-0.10278,-0.02762,0.07516,5.3321,-0.215108,0.32433,517.213545
HUGWAJ,-0.12183,-0.06494,0.05689,2.7649,-0.131006,0.63766,417.959839
HUGWOX,-0.16528,-0.07646,0.08882,0.0218,-0.075405,0.63109,275.599212
HUNYIZ,-0.16422,-0.08582,0.0784,4.44,-0.147024,0.33842,474.549617
HUNYOF,-0.17365,-0.09697,0.07668,8.6813,-0.14424,0.34764,465.444019
HUPQUG,-0.18947,-0.13349,0.05598,0.8694,-0.138823,0.53843,421.035085
HUPWUM,-0.18238,-0.15331,0.02907,3.4432,-0.22975,0.54545,587.21643
HUQKOV,-0.15716,-0.07646,0.0807,6.0429,-0.162625,0.40876,506.23383
HUVLIT,-0.17647,-0.16886,0.00761,8.4365,-0.231034,0.66282,651.929173
IBUVUW,-0.15207,-0.10546,0.04661,0.0078,-0.127455,0.31961,425.601837
ICODUC,-0.18636,-0.05284,0.13352,0.2232,-0.436352,2.01053,1069.33036
ICONIA,-0.06198,-0.01279,0.04919,4.8913,-0.246084,0.06381,558.672156
IFETEV,-0.15841,-0.09149,0.06692,6.8798,-0.108902,-0.02349,372.34914
IGAHON,-0.29009,-0.19632,0.09377,3.3242,-0.167098,-0.61235,360.286315
IGANAF,-0.28245,-0.22275,0.0597,2.0558,-0.106719,0.61749,296.753679
IGERIX,-0.18528,-0.08525,0.10003,13.9392,-0.095837,0.20339,303.059119
IHEKEN,-0.05692,0.02074,0.07766,18.7044,-0.101878,0.2113,321.391392
IHIDOS,-0.13333,-0.07807,0.05526,0.0308,-0.087043,0.57943,297.290351
IHITAW,-0.15574,-0.07094,0.0848,0.0066,-0.248026,0.29016,621.207299
IHITEA,-0.15335,-0.07223,0.08112,0.0026,-0.250224,0.26985,632.617893
IHITIE,-0.14184,-0.05913,0.08271,18.0051,-0.313464,0.26876,754.722718
IHITOK,-0.14165,-0.06052,0.08113,17.9911,-0.316429,0.27234,766.096992
IMOTOU,-0.28943,-0.23032,0.05911,8.2294,-0.113439,0.61288,334.671066
IMOVEN,-0.18611,-0.06275,0.12336,5.6392,-0.141036,1.49192,398.994585
IMOVIR,-0.18478,-0.06249,0.12229,4.7693,-0.140159,1.54797,392.186273
IPOYUI,-0.14608,-0.09742,0.04866,0.0019,-0.140507,0.8512,425.400647
IRAWON,-0.12707,-0.09279,0.03428,5.2956,-0.12613,0.50541,360.406031
IRUDUW,-0.18622,-0.11039,0.07583,3.483,-0.128319,0.66939,338.18975
IRUPOC,-0.16301,-0.13127,0.03174,2.7709,-0.211278,0.8695,634.354289
IXIGIG,-0.19918,-0.03265,0.16653,5.8024,-0.127874,0.97881,347.828236
IXIGOM,-0.1795,-0.01973,0.15977,5.2596,-0.093338,0.96394,275.009972
IYURUP,-0.16017,-0.06351,0.09666,8.0492,-0.201445,-2.50992,562.387644
JASBOV,-0.15029,-0.07519,0.0751,1.9948,-0.260323,-0.11252,630.229557
JEJREY,-0.14512,-0.09287,0.05225,12.3097,-0.110999,0.38384,322.118629
JEJROI,-0.14782,-0.09409,0.05373,11.6845,-0.114469,0.37186,333.57411
JEJSAV,-0.13714,-0.08832,0.04882,11.7688,-0.112476,0.65881,340.904769
JEJSEZ,-0.13391,-0.08773,0.04618,11.6173,-0.113365,0.63496,343.534118
JEJSID,-0.14076,-0.09029,0.05047,11.7854,-0.115418,0.6534,352.747908
JEJSOJ,-0.13716,-0.08962,0.04754,11.626,-0.116246,0.63044,355.365311
JEVRAD,-0.3002,-0.21019,0.09001,4.3645,-0.085687,0.43019,236.60007
JEXTIS,-0.14893,-0.05784,0.09109,3.1125,-0.06941,0.62641,261.172461
JILGAM,-0.31007,-0.29536,0.01471,0.2354,-0.092375,0.96679,300.709737
JIMCIS,-0.16214,-0.12316,0.03898,0.0805,-0.149707,-0.07798,555.758632
JIQKAW,-0.16217,-0.15433,0.00784,9.1848,-0.194012,0.9362,520.215878
JIWBOH,-0.0925,0.02175,0.11425,0.0035,-0.084327,0.34878,282.612329
JOGGIW,-0.12532,-0.04247,0.08285,3.0745,-0.239969,0.46492,587.712908
JOJNUR,-0.15356,-0.06785,0.08571,0.4874,-0.19568,0.54202,458.580108
JORFII,-0.10448,0.07449,0.17897,14.4455,-0.099538,-0.16629,297.813829
JOVJOV,-0.16729,-0.09238,0.07491,11.8562,-0.093571,-0.17667,293.869191
JUHJUR,-0.17598,-0.13797,0.03801,0.0222,-0.248564,-0.09622,740.060053
KACCEZ,-0.14656,-0.087,0.05956,0.0065,-0.135827,0.40459,420.087463
KACVOB,-0.14365,-0.13575,0.0079,0.5277,-0.212992,0.89713,631.046074
KADHUV,-0.18345,-0.13794,0.04551,1.8909,-0.124255,-0.10716,435.179907
KAGGIJ,-0.17265,-0.13949,0.03316,0.5113,-0.13433,0.87487,436.496663
KALXIH,-0.16067,-0.10358,0.05709,11.5233,-0.16787,0.23125,430.006095
KALXON,-0.16073,-0.10355,0.05718,11.5036,-0.167879,0.23265,430.005985
KANHUF,-0.13352,-0.07621,0.05731,10.8045,-0.073408,0.82659,207.293621
KARFUF,-0.14205,-0.07711,0.06494,2.3573,-0.094533,0.64382,277.697688
KARHER,-0.14719,-0.07057,0.07662,1.4778,-0.172905,0.22514,473.007876
KAXZUF,-0.14832,-0.12149,0.02683,1.6036,-0.452267,0.47943,997.389527
KAYJAW,-0.20977,-0.16577,0.044,6.6018,-0.06946,0.85436,254.862242
KEKLUK,-0.28309,-0.21109,0.072,4.4714,-0.108534,0.41039,338.774624
KEMQUQ,-0.18042,-0.09861,0.08181,5.5984,-0.097084,0.73047,335.783098
KEMSAY,-0.16254,-0.13049,0.03205,0.9746,-0.441797,0.87457,1079.421148
KEMSUS,-0.20159,-0.16963,0.03196,1.3552,-0.388938,0.88836,950.250425
KEMTED,-0.18522,-0.15107,0.03415,2.1582,-0.427907,0.88597,1039.039494
KENXIM,-0.15668,-0.10695,0.04973,3.9638,-0.201635,0.66926,634.508182
KIBNAL,-0.13497,-0.13121,0.00376,1.0337,-0.177826,0.73989,536.078919
KIRDUN,-0.15645,-0.06824,0.08821,3.1535,-0.098528,0.74573,243.261219
KIRFAV,-0.12852,-0.06755,0.06097,2.8209,-0.095129,0.84774,262.219661
KIRTUB,-0.18497,-0.08465,0.10032,9.8624,-0.105486,0.44284,312.780995
KIRVAJ,-0.17958,-0.07986,0.09972,11.0781,-0.120734,0.4441,368.947042
