idx,n_centers,rot633,rot589,rot355,rot589_sign,rot589_abs,rot633_sign,rot633_abs,rot355_sign,rot355_abs,point_group,is_point_group_chiral
030122,2,9.55,10.88,19.79,1.0,10.88,1.0,9.55,1.0,19.79,C1,True
021493,0,-15.23,-18.51,-111.22,-1.0,18.51,-1.0,15.23,-1.0,111.22,C1,True
123961,0,-26.33,-31.27,-132.97,-1.0,31.27,-1.0,26.33,-1.0,132.97,C2,True
036387,2,-0.15,-0.18,-0.59,-1.0,0.18,-1.0,0.15,-1.0,0.59,Cs,False
127325,0,80.14,94.75,373.66,1.0,94.75,1.0,80.14,1.0,373.66,C1,True
081937,3,27.9,33.64,160.82,1.0,33.64,1.0,27.9,1.0,160.82,C1,True
070788,4,-15.49,-18.54,-79.34,-1.0,18.54,-1.0,15.49,-1.0,79.34,C1,True
100294,2,36.37,42.15,123.92,1.0,42.15,1.0,36.37,1.0,123.92,C1,True
048476,0,17.75,19.32,-157.59,1.0,19.32,1.0,17.75,-1.0,157.59,C1,True
091320,3,37.21,43.12,126.16,1.0,43.12,1.0,37.21,1.0,126.16,C1,True
014123,2,-117.53,-137.87,-478.0,-1.0,137.87,-1.0,117.53,-1.0,478.0,C1,True
034304,1,0.0,0.01,0.01,1.0,0.01,0.0,0.0,1.0,0.01,Cs,False
000055,0,-0.02,-0.02,-0.07,-1.0,0.02,-1.0,0.02,-1.0,0.07,Cs,False
017365,3,-183.99,-216.59,-803.13,-1.0,216.59,-1.0,183.99,-1.0,803.13,C1,True
078157,3,30.58,33.9,-77.07,1.0,33.9,1.0,30.58,-1.0,77.07,C1,True
100796,3,15.23,17.76,57.23,1.0,17.76,1.0,15.23,1.0,57.23,C1,True
054936,0,-17.8,-19.86,44.07,-1.0,19.86,-1.0,17.8,1.0,44.07,C1,True
061334,1,-116.63,-137.21,-557.13,-1.0,137.21,-1.0,116.63,-1.0,557.13,C1,True
124381,0,0.03,0.04,-0.01,1.0,0.04,1.0,0.03,-1.0,0.01,Cs,False
077553,3,-55.73,-69.1,-769.58,-1.0,69.1,-1.0,55.73,-1.0,769.58,C1,True
088751,5,-38.36,-44.57,-134.67,-1.0,44.57,-1.0,38.36,-1.0,134.67,C1,True
066933,3,56.56,65.69,197.55,1.0,65.69,1.0,56.56,1.0,197.55,C1,True
119087,0,74.5,87.17,290.17,1.0,87.17,1.0,74.5,1.0,290.17,C1,True
078265,6,45.6,52.96,156.32,1.0,52.96,1.0,45.6,1.0,156.32,C1,True
001595,1,-26.18,-30.9,-116.9,-1.0,30.9,-1.0,26.18,-1.0,116.9,C1,True
083694,3,-52.44,-59.91,680.12,-1.0,59.91,-1.0,52.44,1.0,680.12,C1,True
051549,1,472.48,568.58,3626.2,1.0,568.58,1.0,472.48,1.0,3626.2,C1,True
014344,2,-103.07,-119.56,-331.48,-1.0,119.56,-1.0,103.07,-1.0,331.48,C1,True
094515,2,101.53,117.05,81.95,1.0,117.05,1.0,101.53,1.0,81.95,C1,True
027927,0,-0.07,-0.08,-0.14,-1.0,0.08,-1.0,0.07,-1.0,0.14,Cs,False
004949,0,0.11,0.13,0.28,1.0,0.13,1.0,0.11,1.0,0.28,Cs,False
123153,1,19.98,23.14,67.16,1.0,23.14,1.0,19.98,1.0,67.16,C1,True
073222,2,139.48,163.58,566.03,1.0,163.58,1.0,139.48,1.0,566.03,C1,True
093515,2,27.38,32.26,117.83,1.0,32.26,1.0,27.38,1.0,117.83,C1,True
090874,5,60.37,70.47,227.77,1.0,70.47,1.0,60.37,1.0,227.77,C1,True
130131,0,-39.48,-47.21,-236.22,-1.0,47.21,-1.0,39.48,-1.0,236.22,C1,True
116235,1,28.72,31.92,17.01,1.0,31.92,1.0,28.72,1.0,17.01,C1,True
125137,0,9.83,12.05,78.0,1.0,12.05,1.0,9.83,1.0,78.0,C1,True
022890,1,65.51,78.25,407.6,1.0,78.25,1.0,65.51,1.0,407.6,C1,True
098536,2,-236.87,-282.62,-1361.95,-1.0,282.62,-1.0,236.87,-1.0,1361.95,C1,True
046887,2,226.55,274.9,1648.26,1.0,274.9,1.0,226.55,1.0,1648.26,C1,True
041950,1,0.03,0.04,0.1,1.0,0.04,1.0,0.03,1.0,0.1,Cs,False
051235,2,304.47,369.49,2717.12,1.0,369.49,1.0,304.47,1.0,2717.12,C1,True
103728,2,156.59,183.65,701.41,1.0,183.65,1.0,156.59,1.0,701.41,C1,True
113578,2,76.75,89.03,263.39,1.0,89.03,1.0,76.75,1.0,263.39,C1,True
005751,1,28.6,33.2,100.32,1.0,33.2,1.0,28.6,1.0,100.32,C1,True
033881,4,-113.66,-133.74,-484.62,-1.0,133.74,-1.0,113.66,-1.0,484.62,C1,True
004958,0,-1.6,-1.89,-7.16,-1.0,1.89,-1.0,1.6,-1.0,7.16,C2,True
027126,0,-106.41,-124.57,-427.96,-1.0,124.57,-1.0,106.41,-1.0,427.96,C1,True
006915,2,-164.79,-191.86,-598.2,-1.0,191.86,-1.0,164.79,-1.0,598.2,C1,True
122767,0,0.6,0.74,6.19,1.0,0.74,1.0,0.6,1.0,6.19,Cs,False
043853,1,-86.72,-109.26,-1873.2,-1.0,109.26,-1.0,86.72,-1.0,1873.2,C1,True
015856,1,52.17,60.9,194.55,1.0,60.9,1.0,52.17,1.0,194.55,C1,True
054192,3,-157.0,-189.47,-1134.3,-1.0,189.47,-1.0,157.0,-1.0,1134.3,C1,True
126035,1,42.78,49.67,141.19,1.0,49.67,1.0,42.78,1.0,141.19,C1,True
113102,0,4.82,1.15,-440.95,1.0,1.15,1.0,4.82,-1.0,440.95,C1,True
002155,1,104.38,128.7,1082.21,1.0,128.7,1.0,104.38,1.0,1082.21,C1,True
115156,2,-70.94,-82.97,-273.69,-1.0,82.97,-1.0,70.94,-1.0,273.69,C1,True
101744,2,-71.69,-83.05,-239.58,-1.0,83.05,-1.0,71.69,-1.0,239.58,C1,True
070853,6,37.94,44.42,150.57,1.0,44.42,1.0,37.94,1.0,150.57,C1,True
064541,5,-1.61,-1.93,-11.06,-1.0,1.93,-1.0,1.61,-1.0,11.06,Cs,False
032193,0,163.36,193.04,785.17,1.0,193.04,1.0,163.36,1.0,785.17,C1,True
105007,2,-29.51,-34.39,-109.41,-1.0,34.39,-1.0,29.51,-1.0,109.41,C1,True
109853,3,269.5,315.16,1047.65,1.0,315.16,1.0,269.5,1.0,1047.65,C1,True
032642,0,28.21,32.79,99.16,1.0,32.79,1.0,28.21,1.0,99.16,C1,True
004343,0,0.08,0.1,0.43,1.0,0.1,1.0,0.08,1.0,0.43,Cs,False
073575,4,74.27,87.06,296.69,1.0,87.06,1.0,74.27,1.0,296.69,C1,True
122798,0,84.0,97.89,1614.56,1.0,97.89,1.0,84.0,1.0,1614.56,C1,True
101155,4,-62.95,-73.36,-231.57,-1.0,73.36,-1.0,62.95,-1.0,231.57,C1,True
060031,2,-196.09,-233.18,-1155.86,-1.0,233.18,-1.0,196.09,-1.0,1155.86,C1,True
107104,2,-64.03,-75.95,-337.17,-1.0,75.95,-1.0,64.03,-1.0,337.17,C1,True
083608,3,90.3,104.07,151.67,1.0,104.07,1.0,90.3,1.0,151.67,C1,True
020318,0,-0.1,-0.12,-0.43,-1.0,0.12,-1.0,0.1,-1.0,0.43,Cs,False
095037,3,-4.12,-4.44,2.81,-1.0,4.44,-1.0,4.12,1.0,2.81,C1,True
095269,3,-85.0,-100.09,-366.8,-1.0,100.09,-1.0,85.0,-1.0,366.8,C1,True
060054,3,-61.44,-71.48,-219.15,-1.0,71.48,-1.0,61.44,-1.0,219.15,C1,True
006327,0,-26.85,-32.1,-152.54,-1.0,32.1,-1.0,26.85,-1.0,152.54,C1,True
043625,0,-0.01,-0.01,-0.14,-1.0,0.01,-1.0,0.01,-1.0,0.14,Cs,False
097725,2,-3.06,-2.59,47.15,-1.0,2.59,-1.0,3.06,1.0,47.15,C1,True
098598,3,-0.0,-0.0,-0.01,0.0,0.0,0.0,0.0,-1.0,0.01,Cs,False
016229,1,147.01,172.05,581.01,1.0,172.05,1.0,147.01,1.0,581.01,C1,True
112909,3,107.96,126.04,407.82,1.0,126.04,1.0,107.96,1.0,407.82,C1,True
107593,2,69.18,83.2,551.96,1.0,83.2,1.0,69.18,1.0,551.96,C1,True
079409,4,-38.16,-44.55,-145.36,-1.0,44.55,-1.0,38.16,-1.0,145.36,C1,True
042023,2,12.46,14.31,36.26,1.0,14.31,1.0,12.46,1.0,36.26,C1,True
083013,3,-240.65,-289.19,-1420.69,-1.0,289.19,-1.0,240.65,-1.0,1420.69,C1,True
121516,0,0.39,0.47,3.21,1.0,0.47,1.0,0.39,1.0,3.21,C1,True
034288,2,-55.67,-65.42,-231.9,-1.0,65.42,-1.0,55.67,-1.0,231.9,C1,True
095152,3,-33.43,-39.28,-138.87,-1.0,39.28,-1.0,33.43,-1.0,138.87,C1,True
065451,2,-377.96,-444.07,-1602.59,-1.0,444.07,-1.0,377.96,-1.0,1602.59,C1,True
093611,2,-78.03,-87.44,64.05,-1.0,87.44,-1.0,78.03,1.0,64.05,C1,True
130904,0,0.16,0.19,4.43,1.0,0.19,1.0,0.16,1.0,4.43,Cs,False
009737,0,0.05,0.06,0.63,1.0,0.06,1.0,0.05,1.0,0.63,Cs,False
083946,4,42.32,49.38,159.07,1.0,49.38,1.0,42.32,1.0,159.07,C1,True
081834,4,92.08,107.17,330.61,1.0,107.17,1.0,92.08,1.0,330.61,C1,True
061347,1,-66.41,-77.17,-220.28,-1.0,77.17,-1.0,66.41,-1.0,220.28,C1,True
026490,0,-130.3,-153.15,-554.28,-1.0,153.15,-1.0,130.3,-1.0,554.28,C1,True
005257,0,0.0,-0.0,-0.02,0.0,0.0,0.0,0.0,-1.0,0.02,Cs,False
032402,0,-0.01,-0.01,-0.29,-1.0,0.01,-1.0,0.01,-1.0,0.29,Cs,False
062568,2,-166.38,-195.92,-732.59,-1.0,195.92,-1.0,166.38,-1.0,732.59,C1,True
036362,2,134.47,156.73,496.34,1.0,156.73,1.0,134.47,1.0,496.34,C1,True
051330,4,134.48,161.97,1009.44,1.0,161.97,1.0,134.48,1.0,1009.44,C1,True
058624,0,-50.34,-58.54,-178.82,-1.0,58.54,-1.0,50.34,-1.0,178.82,C1,True
125211,0,0.31,0.37,1.78,1.0,0.37,1.0,0.31,1.0,1.78,Cs,False
007366,1,-83.0,-102.53,-757.71,-1.0,102.53,-1.0,83.0,-1.0,757.71,C1,True
014978,1,-192.92,-226.32,-798.87,-1.0,226.32,-1.0,192.92,-1.0,798.87,C1,True
039392,3,125.65,146.67,473.13,1.0,146.67,1.0,125.65,1.0,473.13,C1,True
016642,3,-11.84,-15.84,-219.33,-1.0,15.84,-1.0,11.84,-1.0,219.33,C1,True
017558,3,-14.83,-17.53,-64.11,-1.0,17.53,-1.0,14.83,-1.0,64.11,C1,True
020931,0,-77.82,-91.48,-325.79,-1.0,91.48,-1.0,77.82,-1.0,325.79,C1,True
053938,1,-56.65,-67.52,-311.21,-1.0,67.52,-1.0,56.65,-1.0,311.21,C1,True
013974,2,60.23,69.93,203.41,1.0,69.93,1.0,60.23,1.0,203.41,C1,True
131786,0,50.99,59.49,191.3,1.0,59.49,1.0,50.99,1.0,191.3,C1,True
086744,3,-218.1,-255.54,-877.1,-1.0,255.54,-1.0,218.1,-1.0,877.1,C1,True
007272,1,-47.47,-55.72,-193.92,-1.0,55.72,-1.0,47.47,-1.0,193.92,C1,True
120961,3,25.93,30.05,87.28,1.0,30.05,1.0,25.93,1.0,87.28,C1,True
020187,3,-5.46,-6.26,-12.65,-1.0,6.26,-1.0,5.46,-1.0,12.65,C1,True
048771,4,-182.05,-216.4,-1005.53,-1.0,216.4,-1.0,182.05,-1.0,1005.53,C1,True
105271,3,28.8,33.39,97.5,1.0,33.39,1.0,28.8,1.0,97.5,C1,True
042079,1,-51.43,-60.55,-219.9,-1.0,60.55,-1.0,51.43,-1.0,219.9,C1,True
104788,3,-137.77,-160.46,-504.06,-1.0,160.46,-1.0,137.77,-1.0,504.06,C1,True
050250,3,137.52,167.74,1318.22,1.0,167.74,1.0,137.52,1.0,1318.22,C1,True
007093,0,-8.89,-10.15,-11.36,-1.0,10.15,-1.0,8.89,-1.0,11.36,C1,True
034554,2,-112.76,-135.37,-715.08,-1.0,135.37,-1.0,112.76,-1.0,715.08,C1,True
098051,0,-0.67,-2.11,-886.65,-1.0,2.11,-1.0,0.67,-1.0,886.65,C1,True
082300,3,54.77,63.34,179.17,1.0,63.34,1.0,54.77,1.0,179.17,C1,True
027188,2,177.13,209.22,825.42,1.0,209.22,1.0,177.13,1.0,825.42,C1,True
001594,1,174.26,209.91,1230.5,1.0,209.91,1.0,174.26,1.0,1230.5,C1,True
083693,4,219.7,264.71,1787.92,1.0,264.71,1.0,219.7,1.0,1787.92,C1,True
057270,1,-7.04,-8.12,-21.58,-1.0,8.12,-1.0,7.04,-1.0,21.58,C1,True
020801,0,5.91,7.38,48.8,1.0,7.38,1.0,5.91,1.0,48.8,C1,True
015971,2,-189.25,-226.3,-1338.58,-1.0,226.3,-1.0,189.25,-1.0,1338.58,C1,True
126625,0,-0.45,-0.62,-7.67,-1.0,0.62,-1.0,0.45,-1.0,7.67,C1,True
126740,0,-65.12,-75.76,-208.72,-1.0,75.76,-1.0,65.12,-1.0,208.72,C1,True
042358,1,217.26,266.47,2185.18,1.0,266.47,1.0,217.26,1.0,2185.18,C1,True
063230,2,-55.97,-65.44,-219.24,-1.0,65.44,-1.0,55.97,-1.0,219.24,C1,True
028436,0,17.94,21.96,144.68,1.0,21.96,1.0,17.94,1.0,144.68,C1,True
052230,2,-11.57,-12.78,32.96,-1.0,12.78,-1.0,11.57,1.0,32.96,C1,True
078257,4,-15.96,-14.89,729.76,-1.0,14.89,-1.0,15.96,1.0,729.76,C1,True
116374,1,6.41,7.95,48.44,1.0,7.95,1.0,6.41,1.0,48.44,C1,True
091369,3,-25.27,-27.69,16.28,-1.0,27.69,-1.0,25.27,1.0,16.28,C1,True
030304,1,-17.85,-21.28,-90.78,-1.0,21.28,-1.0,17.85,-1.0,90.78,C1,True
042230,3,-402.46,-478.18,-2234.65,-1.0,478.18,-1.0,402.46,-1.0,2234.65,C1,True
051819,0,266.93,317.31,1739.24,1.0,317.31,1.0,266.93,1.0,1739.24,C1,True
004447,0,-26.25,-31.21,-132.54,-1.0,31.21,-1.0,26.25,-1.0,132.54,C1,True
076941,3,-685.67,-828.14,-5053.69,-1.0,828.14,-1.0,685.67,-1.0,5053.69,C1,True
002441,2,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cs,False
047785,1,-50.56,-58.81,-182.6,-1.0,58.81,-1.0,50.56,-1.0,182.6,C1,True
010131,0,-148.21,-174.79,-641.51,-1.0,174.79,-1.0,148.21,-1.0,641.51,C1,True
051561,3,178.49,208.37,677.13,1.0,208.37,1.0,178.49,1.0,677.13,C1,True
055700,0,71.04,83.82,324.73,1.0,83.82,1.0,71.04,1.0,324.73,C1,True
118901,0,1.46,1.63,1.64,1.0,1.63,1.0,1.46,1.0,1.64,C1,True
036185,3,9.66,11.37,40.11,1.0,11.37,1.0,9.66,1.0,40.11,C1,True
068795,3,23.38,27.37,93.39,1.0,27.37,1.0,23.38,1.0,93.39,C1,True
116427,1,-107.05,-125.86,-455.82,-1.0,125.86,-1.0,107.05,-1.0,455.82,C1,True
003923,0,-0.46,-0.55,-3.95,-1.0,0.55,-1.0,0.46,-1.0,3.95,Cs,False
123271,2,-751.84,-905.09,-5481.29,-1.0,905.09,-1.0,751.84,-1.0,5481.29,C1,True
074137,0,0.28,0.34,2.45,1.0,0.34,1.0,0.28,1.0,2.45,Cs,False
000601,2,62.13,72.57,236.98,1.0,72.57,1.0,62.13,1.0,236.98,C1,True
035033,3,-54.6,-63.57,-198.12,-1.0,63.57,-1.0,54.6,-1.0,198.12,C1,True
130579,0,0.01,0.01,0.16,1.0,0.01,1.0,0.01,1.0,0.16,Cs,False
094316,2,76.22,88.83,280.88,1.0,88.83,1.0,76.22,1.0,280.88,C1,True
113293,1,124.57,147.71,692.04,1.0,147.71,1.0,124.57,1.0,692.04,C1,True
077066,2,21.01,24.95,99.69,1.0,24.95,1.0,21.01,1.0,99.69,C1,True
099694,1,33.04,37.76,70.43,1.0,37.76,1.0,33.04,1.0,70.43,C1,True
099510,1,46.98,54.22,146.85,1.0,54.22,1.0,46.98,1.0,146.85,C1,True
112749,2,122.52,142.51,438.27,1.0,142.51,1.0,122.52,1.0,438.27,C1,True
130043,0,21.86,26.12,128.91,1.0,26.12,1.0,21.86,1.0,128.91,C1,True
080418,4,-36.06,-41.88,-126.4,-1.0,41.88,-1.0,36.06,-1.0,126.4,C1,True
001129,0,-14.26,-16.19,-31.09,-1.0,16.19,-1.0,14.26,-1.0,31.09,C1,True
117357,0,182.57,218.44,1197.86,1.0,218.44,1.0,182.57,1.0,1197.86,C1,True
067972,2,-15.11,-20.06,-426.53,-1.0,20.06,-1.0,15.11,-1.0,426.53,C1,True
074165,1,62.22,74.23,313.69,1.0,74.23,1.0,62.22,1.0,313.69,C1,True
074962,2,-29.18,-34.08,-111.73,-1.0,34.08,-1.0,29.18,-1.0,111.73,C1,True
066649,6,-26.4,-30.85,-101.51,-1.0,30.85,-1.0,26.4,-1.0,101.51,C1,True
031431,0,-0.15,-0.18,-0.99,-1.0,0.18,-1.0,0.15,-1.0,0.99,Cs,False
013288,0,56.59,65.83,202.5,1.0,65.83,1.0,56.59,1.0,202.5,C1,True
066996,4,73.34,83.18,7.48,1.0,83.18,1.0,73.34,1.0,7.48,C1,True
008498,4,-0.43,-0.5,-1.54,-1.0,0.5,-1.0,0.43,-1.0,1.54,C2v,False
029286,1,23.52,28.95,184.43,1.0,28.95,1.0,23.52,1.0,184.43,C1,True
122124,1,276.33,331.55,2158.6,1.0,331.55,1.0,276.33,1.0,2158.6,C1,True
094796,2,120.6,142.81,596.26,1.0,142.81,1.0,120.6,1.0,596.26,C1,True
102712,1,-191.6,-226.66,-910.44,-1.0,226.66,-1.0,191.6,-1.0,910.44,C1,True
060076,0,58.04,67.6,211.91,1.0,67.6,1.0,58.04,1.0,211.91,C1,True
122054,0,66.06,79.76,523.66,1.0,79.76,1.0,66.06,1.0,523.66,C1,True
057956,0,226.82,271.17,1525.03,1.0,271.17,1.0,226.82,1.0,1525.03,C1,True
060819,2,17.26,20.19,64.93,1.0,20.19,1.0,17.26,1.0,64.93,C1,True
078523,4,11.83,13.59,32.74,1.0,13.59,1.0,11.83,1.0,32.74,C1,True
038642,4,-163.71,-195.24,-839.8,-1.0,195.24,-1.0,163.71,-1.0,839.8,C2,True
052885,2,-72.19,-84.9,-310.58,-1.0,84.9,-1.0,72.19,-1.0,310.58,C1,True
100811,2,-46.5,-54.28,-176.25,-1.0,54.28,-1.0,46.5,-1.0,176.25,C1,True
004947,0,128.73,151.01,540.26,1.0,151.01,1.0,128.73,1.0,540.26,C1,True
105146,2,-88.57,-103.99,-365.29,-1.0,103.99,-1.0,88.57,-1.0,365.29,C1,True
073355,4,-0.01,-0.01,-0.04,-1.0,0.01,-1.0,0.01,-1.0,0.04,Cs,False
035798,3,-54.42,-63.61,-207.63,-1.0,63.61,-1.0,54.42,-1.0,207.63,C1,True
076404,3,5.23,5.93,11.4,1.0,5.93,1.0,5.23,1.0,11.4,C1,True
039919,3,159.66,188.51,724.79,1.0,188.51,1.0,159.66,1.0,724.79,C1,True
046832,2,195.71,232.15,985.93,1.0,232.15,1.0,195.71,1.0,985.93,C1,True
038947,4,-7.86,-9.95,-65.63,-1.0,9.95,-1.0,7.86,-1.0,65.63,C1,True
105643,2,17.1,20.52,92.0,1.0,20.52,1.0,17.1,1.0,92.0,C1,True
021190,0,49.65,58.82,234.38,1.0,58.82,1.0,49.65,1.0,234.38,C1,True
127054,0,-0.13,-0.15,-0.46,-1.0,0.15,-1.0,0.13,-1.0,0.46,Cs,False
125113,0,0.01,0.01,0.02,1.0,0.01,1.0,0.01,1.0,0.02,Cs,False
063171,3,10.4,12.39,51.47,1.0,12.39,1.0,10.4,1.0,51.47,C1,True
104857,2,-94.53,-109.88,-335.33,-1.0,109.88,-1.0,94.53,-1.0,335.33,C1,True
028206,0,-56.98,-67.22,-251.62,-1.0,67.22,-1.0,56.98,-1.0,251.62,C1,True
022539,1,65.97,78.75,347.39,1.0,78.75,1.0,65.97,1.0,347.39,C1,True
045699,0,-5.05,-5.81,-20.84,-1.0,5.81,-1.0,5.05,-1.0,20.84,C1,True
014013,1,-83.62,-104.71,-1136.51,-1.0,104.71,-1.0,83.62,-1.0,1136.51,C1,True
122298,2,-105.15,-123.64,-442.75,-1.0,123.64,-1.0,105.15,-1.0,442.75,C1,True
133249,0,-0.01,-0.01,-0.09,-1.0,0.01,-1.0,0.01,-1.0,0.09,Cs,False
098847,2,-43.56,-51.05,-169.33,-1.0,51.05,-1.0,43.56,-1.0,169.33,C1,True
133166,0,-0.02,-0.02,-0.46,-1.0,0.02,-1.0,0.02,-1.0,0.46,Cs,False
024716,2,35.27,41.4,145.61,1.0,41.4,1.0,35.27,1.0,145.61,C1,True
016017,0,78.52,91.3,279.37,1.0,91.3,1.0,78.52,1.0,279.37,C1,True
058473,3,-6.12,-7.35,-33.96,-1.0,7.35,-1.0,6.12,-1.0,33.96,C1,True
084177,2,291.92,353.1,2158.72,1.0,353.1,1.0,291.92,1.0,2158.72,C1,True
050894,0,431.99,526.99,4102.46,1.0,526.99,1.0,431.99,1.0,4102.46,C1,True
082992,5,8.03,8.58,-4.24,1.0,8.58,1.0,8.03,-1.0,4.24,C1,True
057668,0,75.3,87.83,282.78,1.0,87.83,1.0,75.3,1.0,282.78,C1,True
132844,0,-0.08,-0.08,1.2,-1.0,0.08,-1.0,0.08,1.0,1.2,Cs,False
085598,1,36.52,44.07,283.46,1.0,44.07,1.0,36.52,1.0,283.46,C1,True
066336,1,150.01,178.1,723.81,1.0,178.1,1.0,150.01,1.0,723.81,C1,True
093853,2,-45.63,-53.25,-172.67,-1.0,53.25,-1.0,45.63,-1.0,172.67,C1,True
066401,3,-358.75,-425.96,-1869.86,-1.0,425.96,-1.0,358.75,-1.0,1869.86,C1,True
014564,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,D*h,False
025205,0,-624.51,-753.93,-4536.4,-1.0,753.93,-1.0,624.51,-1.0,4536.4,C1,True
022374,2,-129.33,-153.02,-607.4,-1.0,153.02,-1.0,129.33,-1.0,607.4,C1,True
042184,2,-81.29,-98.84,-1075.21,-1.0,98.84,-1.0,81.29,-1.0,1075.21,C1,True
121820,0,81.15,98.98,740.14,1.0,98.98,1.0,81.15,1.0,740.14,C1,True
109551,2,1.7,2.52,30.65,1.0,2.52,1.0,1.7,1.0,30.65,C1,True
023372,2,-1.96,-25.3,5379.52,-1.0,25.3,-1.0,1.96,1.0,5379.52,C1,True
023586,4,-59.0,-72.31,-439.27,-1.0,72.31,-1.0,59.0,-1.0,439.27,C1,True
120998,3,-40.67,-47.94,-175.34,-1.0,47.94,-1.0,40.67,-1.0,175.34,C1,True
052105,2,-23.35,-27.34,-94.59,-1.0,27.34,-1.0,23.35,-1.0,94.59,C1,True
103855,3,24.17,28.34,97.34,1.0,28.34,1.0,24.17,1.0,97.34,C1,True
081787,3,-105.52,-122.85,-382.85,-1.0,122.85,-1.0,105.52,-1.0,382.85,C1,True
004253,0,0.22,0.26,1.03,1.0,0.26,1.0,0.22,1.0,1.03,Cs,False
066374,0,-8.3,-9.82,-38.52,-1.0,9.82,-1.0,8.3,-1.0,38.52,C1,True
106627,3,-41.57,-48.35,-148.49,-1.0,48.35,-1.0,41.57,-1.0,148.49,C1,True
027208,0,-0.03,-0.04,-0.18,-1.0,0.04,-1.0,0.03,-1.0,0.18,Cs,False
015675,1,1.87,1.29,-37.32,1.0,1.29,1.0,1.87,-1.0,37.32,C1,True
050781,0,-237.46,-293.0,-2472.02,-1.0,293.0,-1.0,237.46,-1.0,2472.02,C1,True
003768,0,-0.47,-0.54,-1.8,-1.0,0.54,-1.0,0.47,-1.0,1.8,Cs,False
109751,3,174.83,201.71,452.11,1.0,201.71,1.0,174.83,1.0,452.11,C1,True
114675,3,-40.7,-48.89,-224.71,-1.0,48.89,-1.0,40.7,-1.0,224.71,C1,True
