xyz,smiles_gdb9,smiles,A_GHz,B_GHz,C_GHz,mu_Debye,alpha_Bohr3,homo_Hartree,lumo_Hartree,gap_Hartree,r2_Bohr2,zpve_Hartree,U0_Hartree,U_Hartree,H_Hartree,G_Hartree,Cv_cal/mol/K
dsC7O2H10nsd/dsC7O2H10nsd_0034.xyz,CCC1=C(OC)C=CO1,CCc1c(OC)cco1,2.3868836,1.3305139,0.9072643,1.4876,80.3,-0.19233,0.02357,0.2159,1322.7053,0.156212,-422.567034,-422.557618,-422.556673,-422.602242,33.419
dsC7O2H10nsd/dsC7O2H10nsd_0035.xyz,CCC1=C(OC)OC=C1,CCc1c(OC)occ1,2.3059705,1.3760453,0.9260618,1.0177,79.56,-0.19653,0.03116,0.22769,1306.1165,0.156094,-422.570459,-422.560942,-422.559998,-422.606074,33.48
dsC7O2H10nsd/dsC7O2H10nsd_0036.xyz,CC1=C(C)C=C(CO)O1,Cc1c(C)cc(CO)o1,3.1024711,1.0711311,0.8452778,2.019,80.98,-0.20811,0.01697,0.22508,1398.5359,0.15555,-422.593311,-422.583395,-422.582451,-422.628722,34.805
dsC7O2H10nsd/dsC7O2H10nsd_0037.xyz,CCC1=CC(O)=C(C)O1,CCc1cc(O)c(C)o1,3.1243016,1.0827855,0.85397,1.6081,81.1,-0.18762,0.02763,0.21525,1392.528,0.155271,-422.591712,-422.581739,-422.580795,-422.627097,35.162
dsC7O2H10nsd/dsC7O2H10nsd_0038.xyz,COC1=CC(C)=C(C)O1,COc1cc(C)c(C)o1,3.2146974,1.1570518,0.8646452,1.0399,81.35,-0.18139,0.04401,0.2254,1360.7086,0.154922,-422.578352,-422.568324,-422.56738,-422.615167,34.733
dsC7O2H10nsd/dsC7O2H10nsd_0039.xyz,CCC1=CC(CO)=CO1,CCc1cc(CO)co1,4.020341,0.8518241,0.7756609,1.3125,79.85,-0.21715,0.01762,0.23477,1528.6291,0.15679,-422.586148,-422.576764,-422.575819,-422.621244,33.546
dsC7O2H10nsd/dsC7O2H10nsd_0040.xyz,CCC1=CC(OC)=CO1,CCc1cc(OC)co1,4.2617915,0.8956117,0.7837924,1.8245,80.23,-0.19447,0.02439,0.21886,1501.4105,0.15621,-422.56665,-422.557262,-422.556318,-422.601683,33.476
dsC7O2H10nsd/dsC7O2H10nsd_0041.xyz,CCC1=COC(CO)=C1,CCc1coc(CO)c1,3.9929417,0.8483133,0.7770541,1.7207,79.58,-0.2189,0.0131,0.232,1531.5112,0.156724,-422.584552,-422.575125,-422.57418,-422.619799,33.581
dsC7O2H10nsd/dsC7O2H10nsd_0042.xyz,CCC1=COC(OC)=C1,CCc1coc(OC)c1,5.0153218,0.8582188,0.7739823,0.8075,80.17,-0.19004,0.04025,0.23029,1523.2761,0.156021,-422.570415,-422.560882,-422.559938,-422.606044,33.635
dsC7O2H10nsd/dsC7O2H10nsd_0043.xyz,CCC1=CC=C(CO)O1,CCc1ccc(CO)o1,3.1125375,1.0033431,0.8309572,1.9054,80.25,-0.21341,0.01265,0.22606,1434.7613,0.156645,-422.588389,-422.578974,-422.57803,-422.623721,33.552
dsC7O2H10nsd/dsC7O2H10nsd_0044.xyz,CCC1=CC=C(OC)O1,CCc1ccc(OC)o1,2.9171269,1.1354233,0.8675029,1.2238,80.6,-0.18587,0.03714,0.22301,1372.8491,0.156014,-422.573283,-422.563759,-422.562815,-422.609437,33.484
dsC7O2H10nsd/dsC7O2H10nsd_0045.xyz,CC1=C(C)C(CO)=CO1,Cc1c(C)c(CO)co1,2.8877451,1.2227594,0.919034,1.0033,79.51,-0.2113,0.02164,0.23294,1292.6157,0.155941,-422.591745,-422.582014,-422.58107,-422.626443,34.679
dsC7O2H10nsd/dsC7O2H10nsd_0046.xyz,CCC1=COC(C)=C1O,CCc1coc(C)c1O,2.9353513,1.2258554,0.931439,1.6729,79.69,-0.19557,0.02861,0.22418,1299.7739,0.15552,-422.588418,-422.578579,-422.577635,-422.623201,35.061
dsC7O2H10nsd/dsC7O2H10nsd_0047.xyz,COC1=COC(C)=C1C,COc1coc(C)c1C,3.1032539,1.2266959,0.8939,0.5445,80.11,-0.19719,0.03379,0.23098,1317.9658,0.155247,-422.575439,-422.565587,-422.564643,-422.610387,34.645
dsC7O2H10nsd/dsC7O2H10nsd_0048.xyz,CCC1=COC=C1CO,CCc1cocc1CO,1.9667511,1.4428815,0.8913789,1.6491,77.46,-0.21952,0.02019,0.23971,1316.7879,0.156868,-422.581363,-422.572056,-422.571112,-422.616122,33.515
dsC7O2H10nsd/dsC7O2H10nsd_0049.xyz,CCC1=COC=C1OC,CCc1cocc1OC,1.945799,1.6148494,0.94272,1.0482,78.3,-0.20669,0.02948,0.23617,1273.5859,0.156653,-422.566403,-422.557183,-422.556239,-422.600702,33.32
dsC7O2H10nsd/dsC7O2H10nsd_0050.xyz,CC1=C(CCO)OC=C1,Cc1c(CCO)occ1,2.960134,1.0108387,0.7962268,1.3348,79.06,-0.20977,0.02474,0.23451,1440.3092,0.156333,-422.587361,-422.577817,-422.576873,-422.622686,33.798
dsC7O2H10nsd/dsC7O2H10nsd_0051.xyz,CCCC1=C(O)C=CO1,CCCc1c(O)cco1,3.0597258,1.0012734,0.7945048,1.2111,79.32,-0.19819,0.02489,0.22308,1464.7748,0.156349,-422.583243,-422.573902,-422.572958,-422.618144,33.836
dsC7O2H10nsd/dsC7O2H10nsd_0052.xyz,CCOC1=C(C)C=CO1,CCOc1c(C)cco1,3.0289969,1.1151942,0.8463633,1.0817,79.99,-0.19678,0.03269,0.22947,1397.832,0.155698,-422.575876,-422.566336,-422.565392,-422.611418,33.645
dsC7O2H10nsd/dsC7O2H10nsd_0053.xyz,COCC1=C(C)C=CO1,COCc1c(C)cco1,2.9623876,1.0788824,0.8414515,1.188,80.69,-0.21679,0.01591,0.2327,1406.783,0.155902,-422.56902,-422.55952,-422.558576,-422.604419,33.206
dsC7O2H10nsd/dsC7O2H10nsd_0054.xyz,CC1=C(CCO)C=CO1,Cc1c(CCO)cco1,3.0832131,0.9689087,0.7813119,1.2331,78.75,-0.20946,0.02381,0.23327,1456.0713,0.156291,-422.587969,-422.578429,-422.577484,-422.623344,33.782
dsC7O2H10nsd/dsC7O2H10nsd_0055.xyz,CCOC1=C(C)OC=C1,CCOc1c(C)occ1,3.2142188,1.0513349,0.8041803,1.5364,80.39,-0.19085,0.0254,0.21625,1436.4501,0.155655,-422.572541,-422.562987,-422.562043,-422.607957,33.675
dsC7O2H10nsd/dsC7O2H10nsd_0056.xyz,COCC1=C(C)OC=C1,COCc1c(C)occ1,3.3077448,1.0678688,0.8369056,1.491,79.74,-0.20801,0.02129,0.2293,1386.475,0.155953,-422.569495,-422.560029,-422.559085,-422.604728,33.233
dsC7O2H10nsd/dsC7O2H10nsd_0057.xyz,CC1=COC(CCO)=C1,Cc1coc(CCO)c1,5.5464309,0.7367095,0.6872101,1.3801,79.88,-0.2102,0.02519,0.23539,1659.4872,0.15634,-422.587338,-422.577782,-422.576838,-422.622545,33.817
dsC7O2H10nsd/dsC7O2H10nsd_0058.xyz,CCCC1=CC(O)=CO1,CCCc1cc(O)co1,5.5219106,0.7418674,0.690205,1.9819,79.62,-0.19799,0.02555,0.22354,1659.5829,0.15627,-422.583134,-422.573693,-422.572749,-422.618105,34.036
dsC7O2H10nsd/dsC7O2H10nsd_0059.xyz,CCOC1=CC(C)=CO1,CCOc1cc(C)co1,6.4282073,0.7954898,0.7173909,0.8405,80.87,-0.1881,0.04385,0.23195,1614.2933,0.155548,-422.575786,-422.566177,-422.565233,-422.611722,33.865
dsC7O2H10nsd/dsC7O2H10nsd_0060.xyz,COCC1=CC(C)=CO1,COCc1cc(C)co1,5.4638832,0.7738403,0.7190734,1.1659,81.59,-0.21629,0.01568,0.23197,1633.2698,0.155876,-422.568592,-422.55908,-422.558136,-422.603861,33.237
dsC7O2H10nsd/dsC7O2H10nsd_0061.xyz,CC1=CC=C(CCO)O1,Cc1ccc(CCO)o1,3.9933265,0.8266671,0.7214856,1.5673,80.52,-0.20571,0.0214,0.22711,1580.2881,0.156372,-422.590799,-422.581322,-422.580378,-422.625939,33.733
dsC7O2H10nsd/dsC7O2H10nsd_0062.xyz,CCOC1=CC=C(C)O1,CCOc1ccc(C)o1,4.1482963,0.9102904,0.7680026,1.2231,81.23,-0.19065,0.03385,0.2245,1492.7161,0.155559,-422.579116,-422.569569,-422.568625,-422.614967,33.62
dsC7O2H10nsd/dsC7O2H10nsd_0063.xyz,COCC1=CC=C(C)O1,COCc1ccc(C)o1,4.1402806,0.8642905,0.7534553,0.8624,82.2,-0.21071,0.01531,0.22602,1558.7543,0.15573,-422.57269,-422.563179,-422.562235,-422.608001,33.229
dsC7O2H10nsd/dsC7O2H10nsd_0064.xyz,CC1=CC(CCO)=CO1,Cc1cc(CCO)co1,4.8614347,0.7441687,0.6788669,1.5818,79.59,-0.20996,0.02439,0.23435,1661.9657,0.156243,-422.587934,-422.578352,-422.577408,-422.623269,33.832
dsC7O2H10nsd/dsC7O2H10nsd_0065.xyz,CCOC1=COC(C)=C1,CCOc1coc(C)c1,4.9047811,0.822958,0.7141624,1.8618,80.61,-0.193,0.02635,0.21935,1595.9456,0.15562,-422.57222,-422.562693,-422.561749,-422.607432,33.741
dsC7O2H10nsd/dsC7O2H10nsd_0066.xyz,COCC1=COC(C)=C1,COCc1coc(C)c1,4.7646105,0.795672,0.7088243,0.9513,80.9,-0.21227,0.02348,0.23575,1627.5603,0.155825,-422.570721,-422.561202,-422.560258,-422.606033,33.271
dsC7O2H10nsd/dsC7O2H10nsd_0067.xyz,CC1=COC=C1CCO,Cc1cocc1CCO,2.9998291,0.9867545,0.791102,1.7976,77.62,-0.2177,0.02274,0.24044,1437.5101,0.156503,-422.583955,-422.574473,-422.573529,-422.619088,33.768
dsC7O2H10nsd/dsC7O2H10nsd_0068.xyz,CCOC1=COC=C1C,CCOc1cocc1C,3.0659024,1.0740129,0.8074088,1.1827,78.8,-0.20439,0.03219,0.23658,1430.1676,0.156036,-422.571773,-422.562362,-422.561417,-422.606489,33.616
dsC7O2H10nsd/dsC7O2H10nsd_0069.xyz,COCC1=COC=C1C,COCc1cocc1C,3.1596828,1.0686932,0.8422922,1.4719,78.88,-0.21798,0.02407,0.24205,1385.4892,0.156069,-422.567753,-422.558292,-422.557348,-422.602748,33.24
dsC7O2H10nsd/dsC7O2H10nsd_0070.xyz,CCCOC1=CC=CO1,CCCOc1ccco1,6.138257,0.7422656,0.6704697,1.1869,79.65,-0.19111,0.03862,0.22973,1688.2938,0.15641,-422.570159,-422.560921,-422.559977,-422.606061,32.682
dsC7O2H10nsd/dsC7O2H10nsd_0071.xyz,CCOCC1=CC=CO1,CCOCc1ccco1,5.7206048,0.7380418,0.6618257,0.9037,79.33,-0.21246,0.02346,0.23592,1694.338,0.156222,-422.568543,-422.559247,-422.558303,-422.605038,32.333
dsC7O2H10nsd/dsC7O2H10nsd_0072.xyz,COCCC1=CC=CO1,COCCc1ccco1,5.603084,0.6994806,0.6625586,0.9755,79.57,-0.21598,0.01992,0.2359,1714.4147,0.156773,-422.568346,-422.559189,-422.558244,-422.603651,32.134
dsC7O2H10nsd/dsC7O2H10nsd_0073.xyz,OCCCC1=CC=CO1,OCCCc1ccco1,5.3895157,0.6659358,0.6315599,1.7797,78.87,-0.21495,0.02032,0.23527,1759.1469,0.157236,-422.582047,-422.572921,-422.571977,-422.617236,32.599
dsC7O2H10nsd/dsC7O2H10nsd_0074.xyz,CCCOC1=COC=C1,CCCOc1cocc1,6.3189494,0.6987882,0.6366924,1.9032,78.71,-0.20119,0.02288,0.22407,1748.2994,0.15666,-422.563088,-422.553975,-422.553031,-422.598162,32.558
dsC7O2H10nsd/dsC7O2H10nsd_0075.xyz,CCOCC1=COC=C1,CCOCc1cocc1,5.4929973,0.7347959,0.6560771,1.6877,78.53,-0.21779,0.02571,0.2435,1700.1545,0.156451,-422.566988,-422.557778,-422.556834,-422.602551,32.297
dsC7O2H10nsd/dsC7O2H10nsd_0076.xyz,COCCC1=COC=C1,COCCc1cocc1,5.6490904,0.6663258,0.6373707,1.0879,78.45,-0.22176,0.02018,0.24194,1761.0966,0.156898,-422.564877,-422.555746,-422.554802,-422.600118,32.116
dsC7O2H10nsd/dsC7O2H10nsd_0077.xyz,OCCCC1=COC=C1,OCCCc1cocc1,5.4577044,0.6335518,0.6062333,0.8178,77.68,-0.22143,0.02079,0.24222,1809.9375,0.157287,-422.57849,-422.569346,-422.568402,-422.613797,32.623
dsC7O2H10nsd/dsC7O2H10nsd_0078.xyz,C#CC1CCCOCO1,C#C[C@@H]1CCCOCO1,3.1865709,1.2195854,0.9489826,1.0475,78.33,-0.24985,0.03972,0.28957,1239.7193,0.157248,-422.519988,-422.511439,-422.510495,-422.55296,32.558
dsC7O2H10nsd/dsC7O2H10nsd_0079.xyz,C#CC1CCOCCO1,C#C[C@H]1CCOCCO1,3.0275623,1.2341043,1.0262171,0.4794,77.67,-0.24564,0.03176,0.2774,1200.0186,0.157093,-422.509138,-422.500534,-422.49959,-422.542395,32.644
dsC7O2H10nsd/dsC7O2H10nsd_0080.xyz,C#CC1CCOCOC1,C#C[C@@H]1CCOCOC1,3.340681,1.1479431,0.9332747,0.5339,78,-0.25423,0.05157,0.3058,1258.4976,0.157594,-422.522456,-422.513902,-422.512957,-422.555485,32.471
dsC7O2H10nsd/dsC7O2H10nsd_0081.xyz,C#CC1COCCCO1,C#C[C@@H]1COCCCO1,3.1437544,1.219741,0.9400767,0.9375,78.4,-0.24646,0.03472,0.28118,1248.7588,0.156956,-422.507205,-422.498482,-422.497537,-422.540675,32.741
dsC7O2H10nsd/dsC7O2H10nsd_0082.xyz,C#CC1COCCOC1,C#CC1COCCOC1,2.315058,1.4814528,1.2437558,0.5264,77,-0.24559,0.04787,0.29346,1103.6752,0.157219,-422.507335,-422.498661,-422.497717,-422.541147,32.517
dsC7O2H10nsd/dsC7O2H10nsd_0083.xyz,C#CC1OCCCCO1,C#CC1OCCCCO1,3.0417346,1.3275589,1.1017344,0.9049,76.94,-0.26273,0.03704,0.29977,1151.6824,0.157368,-422.513143,-422.504513,-422.503569,-422.546783,32.412
dsC7O2H10nsd/dsC7O2H10nsd_0084.xyz,C#CCC1CCOCO1,C#CC[C@@H]1CCOCO1,3.988966,0.9710546,0.8276645,1.8409,77.37,-0.25862,0.05255,0.31117,1379.4607,0.15706,-422.527613,-422.518957,-422.518012,-422.561189,32.498
dsC7O2H10nsd/dsC7O2H10nsd_0085.xyz,C#CCC1COCCO1,C#CC[C@H]1COCCO1,3.9685358,0.9758663,0.8298006,0.5669,77.8,-0.23782,0.05476,0.29258,1378.337,0.156672,-422.5183,-422.509534,-422.50859,-422.552031,32.763
dsC7O2H10nsd/dsC7O2H10nsd_0086.xyz,C#CCC1COCOC1,C#CCC1COCOC1,3.8862663,0.9626346,0.8132931,1.6291,76.84,-0.26075,0.04785,0.3086,1387.4779,0.157338,-422.524554,-422.515912,-422.514968,-422.558104,32.374
dsC7O2H10nsd/dsC7O2H10nsd_0087.xyz,C#CCC1OCCCO1,C#CCC1OCCCO1,3.9257447,1.0072401,0.8506545,2.1066,77.53,-0.2575,0.05721,0.31471,1362.0012,0.156857,-422.529829,-422.521162,-422.520218,-422.563399,32.616
dsC7O2H10nsd/dsC7O2H10nsd_0088.xyz,C#CCCC1COCO1,C#CCC[C@@H]1COCO1,5.3976584,0.7075335,0.6665777,0.9205,77.57,-0.25693,0.05598,0.31291,1662.1708,0.156164,-422.521647,-422.512338,-422.511394,-422.557044,32.958
dsC7O2H10nsd/dsC7O2H10nsd_0089.xyz,C#CCCC1OCCO1,C#CCCC1OCCO1,5.5961045,0.7206523,0.6703543,1.8869,78.36,-0.25437,0.05962,0.31399,1661.8055,0.155852,-422.524693,-422.515234,-422.514289,-422.560972,33.097
dsC7O2H10nsd/dsC7O2H10nsd_0090.xyz,C#CCOC1CCCO1,C#CCO[C@H]1CCCO1,4.2462125,0.9021122,0.8573175,0.9055,77.23,-0.2619,0.03596,0.29786,1405.2172,0.156601,-422.523011,-422.51393,-422.512986,-422.558034,32.742
dsC7O2H10nsd/dsC7O2H10nsd_0091.xyz,C#CCOC1CCOC1,C#CCO[C@H]1CCOC1,4.5254448,0.7686797,0.7418755,2.0296,78.12,-0.2503,0.02981,0.28011,1559.7091,0.155821,-422.506971,-422.497722,-422.496778,-422.54246,32.966
dsC7O2H10nsd/dsC7O2H10nsd_0092.xyz,C#CCCOC1COC1,C#CCCOC1COC1,6.6893953,0.5911487,0.5657787,1.6058,78.45,-0.25025,0.04895,0.2992,1909.548,0.15465,-422.483429,-422.473657,-422.472713,-422.519711,33.809
dsC7O2H10nsd/dsC7O2H10nsd_0093.xyz,C#CCOCC1CCO1,C#CCOC[C@H]1CCO1,5.9314503,0.6260145,0.5909886,1.1221,78.63,-0.24852,0.02748,0.276,1849.8995,0.15451,-422.479471,-422.46964,-422.468696,-422.515984,33.793
dsC7O2H10nsd/dsC7O2H10nsd_0094.xyz,C#CCOCC1COC1,C#CCOCC1COC1,5.6510855,0.6284496,0.5937436,1.914,78.67,-0.2465,0.02789,0.27439,1837.099,0.154583,-422.476381,-422.466562,-422.465618,-422.51297,33.63
dsC7O2H10nsd/dsC7O2H10nsd_0095.xyz,C#CCCOCC1CO1,C#CCCOC[C@@H]1CO1,8.8673766,0.50321,0.4937681,2.3277,79.63,-0.26219,0.05264,0.31483,2167.7343,0.153832,-422.481984,-422.471879,-422.470935,-422.518591,34.786
dsC7O2H10nsd/dsC7O2H10nsd_0096.xyz,C#CCOCCC1CO1,C#CCOCC[C@@H]1CO1,8.1972518,0.5058965,0.4953701,1.2212,79.68,-0.25735,0.0321,0.28945,2159.0957,0.153653,-422.477976,-422.467835,-422.466891,-422.514687,34.816
